block_number,timestamp,asset_symbol,price_usd
0,2024-01-01 00:00:00+00:00,WETH,2508.532078233124
1,2024-01-01 01:00:00+00:00,WETH,2557.0634525249084
2,2024-01-01 02:00:00+00:00,WETH,2600.9752518289542
3,2024-01-01 03:00:00+00:00,WETH,2636.2102041936832
4,2024-01-01 04:00:00+00:00,WETH,2659.7650682171743
5,2024-01-01 05:00:00+00:00,WETH,2670.0501089532468
6,2024-01-01 06:00:00+00:00,WETH,2667.0713220193816
7,2024-01-01 07:00:00+00:00,WETH,2652.412753820873
8,2024-01-01 08:00:00+00:00,WETH,2629.021466166901
9,2024-01-01 09:00:00+00:00,WETH,2600.822566379906
10,2024-01-01 10:00:00+00:00,WETH,2572.2131309448355
11,2024-01-01 11:00:00+00:00,WETH,2547.499090961478
12,2024-01-01 12:00:00+00:00,WETH,2530.3462986364425
13,2024-01-01 13:00:00+00:00,WETH,2523.3151542076425
14,2024-01-01 14:00:00+00:00,WETH,2527.5375751637757
15,2024-01-01 15:00:00+00:00,WETH,2542.577072799645
16,2024-01-01 16:00:00+00:00,WETH,2566.4895397707314
17,2024-01-01 17:00:00+00:00,WETH,2596.0769703600754
18,2024-01-01 18:00:00+00:00,WETH,2627.3019368494543
19,2024-01-01 19:00:00+00:00,WETH,2655.810310724707
20,2024-01-01 20:00:00+00:00,WETH,2677.4960135786964
21,2024-01-01 21:00:00+00:00,WETH,2689.0362397569334
22,2024-01-01 22:00:00+00:00,WETH,2688.3292860130837
23,2024-01-01 23:00:00+00:00,WETH,2674.779387239553
24,2024-01-02 00:00:00+00:00,WETH,2649.392244519891
25,2024-01-02 01:00:00+00:00,WETH,2614.668808643051
26,2024-01-02 02:00:00+00:00,WETH,2574.31033579779
27,2024-01-02 03:00:00+00:00,WETH,2532.771550288596
28,2024-01-02 04:00:00+00:00,WETH,2494.7179259026857
29,2024-01-02 05:00:00+00:00,WETH,2464.455212735765
30,2024-01-02 06:00:00+00:00,WETH,2445.402860626519
31,2024-01-02 07:00:00+00:00,WETH,2439.677478674301
32,2024-01-02 08:00:00+00:00,WETH,2447.8386176732283
33,2024-01-02 09:00:00+00:00,WETH,2468.828716268693
34,2024-01-02 10:00:00+00:00,WETH,2500.114591802088
35,2024-01-02 11:00:00+00:00,WETH,2538.012469191732
36,2024-01-02 12:00:00+00:00,WETH,2578.155428854872
37,2024-01-02 13:00:00+00:00,WETH,2616.044233464916
38,2024-01-02 14:00:00+00:00,WETH,2647.612023956093
39,2024-01-02 15:00:00+00:00,WETH,2669.7316778859627
40,2024-01-02 16:00:00+00:00,WETH,2680.601911252573
41,2024-01-02 17:00:00+00:00,WETH,2679.963557413665
42,2024-01-02 18:00:00+00:00,WETH,2669.1189354288967
43,2024-01-02 19:00:00+00:00,WETH,2650.7521134346416
44,2024-01-02 20:00:00+00:00,WETH,2628.573038201406
45,2024-01-02 21:00:00+00:00,WETH,2606.8307631824537
46,2024-01-02 22:00:00+00:00,WETH,2589.7575541420483
47,2024-01-02 23:00:00+00:00,WETH,2581.014395129066
48,2024-01-03 00:00:00+00:00,WETH,2583.2082542943435
49,2024-01-03 01:00:00+00:00,WETH,2597.5424191903644
50,2024-01-03 02:00:00+00:00,WETH,2623.6444167229924
51,2024-01-03 03:00:00+00:00,WETH,2659.5936133438145
52,2024-01-03 04:00:00+00:00,WETH,2702.145375905831
53,2024-01-03 05:00:00+00:00,WETH,2747.1238453208953
54,2024-01-03 06:00:00+00:00,WETH,2789.9340675234425
55,2024-01-03 07:00:00+00:00,WETH,2826.1291288408434
56,2024-01-03 08:00:00+00:00,WETH,2851.9609616481107
57,2024-01-03 09:00:00+00:00,WETH,2864.84550292307
58,2024-01-03 10:00:00+00:00,WETH,2863.6836493291244
59,2024-01-03 11:00:00+00:00,WETH,2848.9976005804574
60,2024-01-03 12:00:00+00:00,WETH,2822.8654287231707
61,2024-01-03 13:00:00+00:00,WETH,2788.662121922235
62,2024-01-03 14:00:00+00:00,WETH,2750.6397214857384
63,2024-01-03 15:00:00+00:00,WETH,2713.39942564088
64,2024-01-03 16:00:00+00:00,WETH,2681.3221177974046
65,2024-01-03 17:00:00+00:00,WETH,2658.0289772821907
66,2024-01-03 18:00:00+00:00,WETH,2645.9399914006117
67,2024-01-03 19:00:00+00:00,WETH,2645.9857944776327
68,2024-01-03 20:00:00+00:00,WETH,2657.508877000169
69,2024-01-03 21:00:00+00:00,WETH,2678.3662828260576
70,2024-01-03 22:00:00+00:00,WETH,2705.2204645183497
71,2024-01-03 23:00:00+00:00,WETH,2733.9812081309906
72,2024-01-04 00:00:00+00:00,WETH,2760.3424678323377
73,2024-01-04 01:00:00+00:00,WETH,2780.3459744872503
74,2024-01-04 02:00:00+00:00,WETH,2790.900112116122
75,2024-01-04 03:00:00+00:00,WETH,2790.1882171702046
76,2024-01-04 04:00:00+00:00,WETH,2777.914433084658
77,2024-01-04 05:00:00+00:00,WETH,2755.35578219382
78,2024-01-04 06:00:00+00:00,WETH,2725.2136074161176
79,2024-01-04 07:00:00+00:00,WETH,2609.5600274577946
80,2024-01-04 08:00:00+00:00,WETH,2499.3837758410186
81,2024-01-04 09:00:00+00:00,WETH,2400.4629475664274
82,2024-01-04 10:00:00+00:00,WETH,2321.582203332822
83,2024-01-04 11:00:00+00:00,WETH,2269.3288035266637
84,2024-01-04 12:00:00+00:00,WETH,2247.253623263067
85,2024-01-04 13:00:00+00:00,WETH,2255.409291616479
86,2024-01-04 14:00:00+00:00,WETH,2290.3239997030846
87,2024-01-04 15:00:00+00:00,WETH,2345.414649349786
88,2024-01-04 16:00:00+00:00,WETH,2411.787670918057
89,2024-01-04 17:00:00+00:00,WETH,2479.3270078959167
90,2024-01-04 18:00:00+00:00,WETH,2537.9326078953504
91,2024-01-04 19:00:00+00:00,WETH,2578.7538363179433
92,2024-01-04 20:00:00+00:00,WETH,2595.2629270027032
93,2024-01-04 21:00:00+00:00,WETH,2584.033814478954
94,2024-01-04 22:00:00+00:00,WETH,2545.1289011263925
95,2024-01-04 23:00:00+00:00,WETH,2482.0458033053346
96,2024-01-05 00:00:00+00:00,WETH,2401.2316473591027
97,2024-01-05 01:00:00+00:00,WETH,2311.2270418445664
98,2024-01-05 02:00:00+00:00,WETH,2221.5485518413966
99,2024-01-05 03:00:00+00:00,WETH,2141.451451872155
100,2024-01-05 04:00:00+00:00,WETH,2078.7295783735713
101,2024-01-05 05:00:00+00:00,WETH,2038.7043433839858
102,2024-01-05 06:00:00+00:00,WETH,2023.531010226421
103,2024-01-05 07:00:00+00:00,WETH,2031.9101950175964
104,2024-01-05 08:00:00+00:00,WETH,2059.2413119830153
105,2024-01-05 09:00:00+00:00,WETH,2098.198795069375
106,2024-01-05 10:00:00+00:00,WETH,2139.65845811625
107,2024-01-05 11:00:00+00:00,WETH,2173.8570510382715
108,2024-01-05 12:00:00+00:00,WETH,2191.638523580227
109,2024-01-05 13:00:00+00:00,WETH,2185.629452140289
110,2024-01-05 14:00:00+00:00,WETH,2151.194916324346
111,2024-01-05 15:00:00+00:00,WETH,2087.0537178278582
112,2024-01-05 16:00:00+00:00,WETH,1995.47473294697
113,2024-01-05 17:00:00+00:00,WETH,1882.0289693736397
114,2024-01-05 18:00:00+00:00,WETH,1754.927898659676
115,2024-01-05 19:00:00+00:00,WETH,1624.030791801995
116,2024-01-05 20:00:00+00:00,WETH,1499.6455157142593
117,2024-01-05 21:00:00+00:00,WETH,1391.273287284606
118,2024-01-05 22:00:00+00:00,WETH,1306.454943632701
119,2024-01-05 23:00:00+00:00,WETH,1249.8634810514518
120,2024-01-06 00:00:00+00:00,WETH,1222.7565569961505
121,2024-01-06 01:00:00+00:00,WETH,1222.8572585346762
122,2024-01-06 02:00:00+00:00,WETH,1244.6774445915275
123,2024-01-06 03:00:00+00:00,WETH,1280.2421814988172
124,2024-01-06 04:00:00+00:00,WETH,1320.123251061688
125,2024-01-06 05:00:00+00:00,WETH,1354.6507943281247
126,2024-01-06 06:00:00+00:00,WETH,1375.1497720923135
127,2024-01-06 07:00:00+00:00,WETH,1375.0448976573196
128,2024-01-06 08:00:00+00:00,WETH,1350.6944083653248
129,2024-01-06 09:00:00+00:00,WETH,1301.8473788297808
130,2024-01-06 10:00:00+00:00,WETH,1231.6669052163181
131,2024-01-06 11:00:00+00:00,WETH,1146.3163936251783
132,2024-01-06 12:00:00+00:00,WETH,1054.1614355476527
133,2024-01-06 13:00:00+00:00,WETH,964.6883747860103
134,2024-01-06 14:00:00+00:00,WETH,887.2765250437118
135,2024-01-06 15:00:00+00:00,WETH,829.9795588040246
136,2024-01-06 16:00:00+00:00,WETH,798.4705119286655
137,2024-01-06 17:00:00+00:00,WETH,848.4377653900009
138,2024-01-06 18:00:00+00:00,WETH,925.7608997804236
139,2024-01-06 19:00:00+00:00,WETH,1026.048100801353
140,2024-01-06 20:00:00+00:00,WETH,1141.991289309761
141,2024-01-06 21:00:00+00:00,WETH,1264.2431239328405
142,2024-01-06 22:00:00+00:00,WETH,1382.5525496142407
143,2024-01-06 23:00:00+00:00,WETH,1487.01641089576
144,2024-01-07 00:00:00+00:00,WETH,1569.289963496726
145,2024-01-07 01:00:00+00:00,WETH,1623.6042523017306
146,2024-01-07 02:00:00+00:00,WETH,1647.4626312046687
147,2024-01-07 03:00:00+00:00,WETH,1641.9291140156665
148,2024-01-07 04:00:00+00:00,WETH,1611.4726670379812
149,2024-01-07 05:00:00+00:00,WETH,1563.387495217209
150,2024-01-07 06:00:00+00:00,WETH,1506.8627769683203
151,2024-01-07 07:00:00+00:00,WETH,1451.8194303612295
152,2024-01-07 08:00:00+00:00,WETH,1407.660778453513
153,2024-01-07 09:00:00+00:00,WETH,1382.0947305589514
154,2024-01-07 10:00:00+00:00,WETH,1380.1759547901852
155,2024-01-07 11:00:00+00:00,WETH,1403.6886411481912
156,2024-01-07 12:00:00+00:00,WETH,1450.947363853607
157,2024-01-07 13:00:00+00:00,WETH,1517.0406866175235
158,2024-01-07 14:00:00+00:00,WETH,1594.4861886296253
159,2024-01-07 15:00:00+00:00,WETH,1674.2135868656171
160,2024-01-07 16:00:00+00:00,WETH,1746.7511561178326
161,2024-01-07 17:00:00+00:00,WETH,1803.4649372944516
162,2024-01-07 18:00:00+00:00,WETH,1837.693522770375
163,2024-01-07 19:00:00+00:00,WETH,1845.6343614222253
164,2024-01-07 20:00:00+00:00,WETH,1826.868875869657
165,2024-01-07 21:00:00+00:00,WETH,1784.4592741485767
166,2024-01-07 22:00:00+00:00,WETH,1724.6040139533386
167,2024-01-07 23:00:00+00:00,WETH,1655.8946148334785
168,2024-01-08 00:00:00+00:00,WETH,1588.2668774933127
169,2024-01-08 01:00:00+00:00,WETH,1531.7782026607995
170,2024-01-08 02:00:00+00:00,WETH,1495.3647280429116
171,2024-01-08 03:00:00+00:00,WETH,1485.7346394669914
172,2024-01-08 04:00:00+00:00,WETH,1506.5369268576806
173,2024-01-08 05:00:00+00:00,WETH,1557.9102015470503
174,2024-01-08 06:00:00+00:00,WETH,1636.4683399403611
175,2024-01-08 07:00:00+00:00,WETH,1735.7247065549534
176,2024-01-08 08:00:00+00:00,WETH,1846.9014773133008
177,2024-01-08 09:00:00+00:00,WETH,1960.0220998617424
178,2024-01-08 10:00:00+00:00,WETH,2065.149308174699
179,2024-01-08 11:00:00+00:00,WETH,2153.6128468976603
180,2024-01-08 12:00:00+00:00,WETH,2219.072459428797
181,2024-01-08 13:00:00+00:00,WETH,2258.2825742689183
182,2024-01-08 14:00:00+00:00,WETH,2271.462849840659
183,2024-01-08 15:00:00+00:00,WETH,2262.2285462795026
184,2024-01-08 16:00:00+00:00,WETH,2237.090296514256
185,2024-01-08 17:00:00+00:00,WETH,2204.587230022688
186,2024-01-08 18:00:00+00:00,WETH,2174.1636972965857
187,2024-01-08 19:00:00+00:00,WETH,2154.9322084104233
188,2024-01-08 20:00:00+00:00,WETH,2154.4795504773583
189,2024-01-08 21:00:00+00:00,WETH,2177.8675751954106
190,2024-01-08 22:00:00+00:00,WETH,2226.955540362865
191,2024-01-08 23:00:00+00:00,WETH,2259.6312453059895
192,2024-01-09 00:00:00+00:00,WETH,2311.4807214591083
193,2024-01-09 01:00:00+00:00,WETH,2374.8851763510584
194,2024-01-09 02:00:00+00:00,WETH,2440.4608101652625
195,2024-01-09 03:00:00+00:00,WETH,2498.228116291756
196,2024-01-09 04:00:00+00:00,WETH,2538.862388052252
197,2024-01-09 05:00:00+00:00,WETH,2554.8677834673226
198,2024-01-09 06:00:00+00:00,WETH,2541.5268309275666
199,2024-01-09 07:00:00+00:00,WETH,2497.5054811986884
200,2024-01-09 08:00:00+00:00,WETH,2425.0371658096738
201,2024-01-09 09:00:00+00:00,WETH,2329.6623393167542
202,2024-01-09 10:00:00+00:00,WETH,2219.555974454502
203,2024-01-09 11:00:00+00:00,WETH,2104.5273805958054
204,2024-01-09 12:00:00+00:00,WETH,1994.8179790959734
205,2024-01-09 13:00:00+00:00,WETH,1899.848088227546
206,2024-01-09 14:00:00+00:00,WETH,1827.070139079858
207,2024-01-09 15:00:00+00:00,WETH,1781.0722595128498
208,2024-01-09 16:00:00+00:00,WETH,1763.044528733174
209,2024-01-09 17:00:00+00:00,WETH,1770.6744133193517
210,2024-01-09 18:00:00+00:00,WETH,1798.4837259438211
211,2024-01-09 19:00:00+00:00,WETH,1838.5637369990143
212,2024-01-09 20:00:00+00:00,WETH,1881.6148474418576
213,2024-01-09 21:00:00+00:00,WETH,1918.1588360036844
214,2024-01-09 22:00:00+00:00,WETH,1939.7699702149719
215,2024-01-09 23:00:00+00:00,WETH,1940.1689589818723
216,2024-01-10 00:00:00+00:00,WETH,1916.0411151734318
217,2024-01-10 01:00:00+00:00,WETH,1867.4749935867237
218,2024-01-10 02:00:00+00:00,WETH,1797.9657670050083
219,2024-01-10 03:00:00+00:00,WETH,1713.9826416463625
220,2024-01-10 04:00:00+00:00,WETH,1624.154745167645
221,2024-01-10 05:00:00+00:00,WETH,1538.1781857235346
222,2024-01-10 06:00:00+00:00,WETH,1465.5822860722353
223,2024-01-10 07:00:00+00:00,WETH,1414.5108845876096
224,2024-01-10 08:00:00+00:00,WETH,1390.6728056493414
225,2024-01-10 09:00:00+00:00,WETH,1396.5943589605868
226,2024-01-10 10:00:00+00:00,WETH,1431.2687097709068
227,2024-01-10 11:00:00+00:00,WETH,1490.2469657656789
228,2024-01-10 12:00:00+00:00,WETH,1566.1601594213819
229,2024-01-10 13:00:00+00:00,WETH,1649.606990681612
230,2024-01-10 14:00:00+00:00,WETH,1730.2960871283744
231,2024-01-10 15:00:00+00:00,WETH,1798.2994552751943
232,2024-01-10 16:00:00+00:00,WETH,1845.2597854786304
233,2024-01-10 17:00:00+00:00,WETH,1865.400102072693
234,2024-01-10 18:00:00+00:00,WETH,1856.2091839361467
235,2024-01-10 19:00:00+00:00,WETH,1818.7170723587515
236,2024-01-10 20:00:00+00:00,WETH,1757.3266727067871
237,2024-01-10 21:00:00+00:00,WETH,1679.2234214996038
238,2024-01-10 22:00:00+00:00,WETH,1593.4381692989152
239,2024-01-10 23:00:00+00:00,WETH,1509.6821123723482
240,2024-01-11 00:00:00+00:00,WETH,1437.1012811748442
241,2024-01-11 01:00:00+00:00,WETH,1383.1081442065738
242,2024-01-11 02:00:00+00:00,WETH,1352.4380452709577
243,2024-01-11 03:00:00+00:00,WETH,1346.5497044889219
244,2024-01-11 04:00:00+00:00,WETH,1363.4454759240232
245,2024-01-11 05:00:00+00:00,WETH,1397.9339639927655
246,2024-01-11 06:00:00+00:00,WETH,1442.301659264057
247,2024-01-11 07:00:00+00:00,WETH,1487.308523836268
248,2024-01-11 08:00:00+00:00,WETH,1523.3814677441026
249,2024-01-11 09:00:00+00:00,WETH,1541.854585595241
250,2024-01-11 10:00:00+00:00,WETH,1536.099032851935
251,2024-01-11 11:00:00+00:00,WETH,1502.3992714321278
252,2024-01-11 12:00:00+00:00,WETH,1353.2560859075868
253,2024-01-11 13:00:00+00:00,WETH,1328.085350677857
254,2024-01-11 14:00:00+00:00,WETH,1294.4325538633784
255,2024-01-11 15:00:00+00:00,WETH,1256.2741571756987
256,2024-01-11 16:00:00+00:00,WETH,1218.1908098377098
257,2024-01-11 17:00:00+00:00,WETH,1184.8090463259798
258,2024-01-11 18:00:00+00:00,WETH,1160.2361561921728
259,2024-01-11 19:00:00+00:00,WETH,1147.5591947878365
260,2024-01-11 20:00:00+00:00,WETH,1148.4710350823468
261,2024-01-11 21:00:00+00:00,WETH,1163.0703601544562
262,2024-01-11 22:00:00+00:00,WETH,1189.860582045322
263,2024-01-11 23:00:00+00:00,WETH,1225.947610335796
264,2024-01-12 00:00:00+00:00,WETH,1267.411345149562
265,2024-01-12 01:00:00+00:00,WETH,1309.8038945836965
266,2024-01-12 02:00:00+00:00,WETH,1348.7115755110747
267,2024-01-12 03:00:00+00:00,WETH,1380.309760093514
268,2024-01-12 04:00:00+00:00,WETH,1401.8405863788178
269,2024-01-12 05:00:00+00:00,WETH,1411.9533383805847
270,2024-01-12 06:00:00+00:00,WETH,1410.8646829425275
271,2024-01-12 07:00:00+00:00,WETH,1400.318732906695
272,2024-01-12 08:00:00+00:00,WETH,1383.3522126000055
273,2024-01-12 09:00:00+00:00,WETH,1363.894637889552
274,2024-01-12 10:00:00+00:00,WETH,1346.2542791680346
275,2024-01-12 11:00:00+00:00,WETH,1334.555118902698
276,2024-01-12 12:00:00+00:00,WETH,1332.1962225161126
277,2024-01-12 13:00:00+00:00,WETH,1341.4021285952351
278,2024-01-12 14:00:00+00:00,WETH,1362.9213864244748
279,2024-01-12 15:00:00+00:00,WETH,1395.911673980852
280,2024-01-12 16:00:00+00:00,WETH,1438.0263770964693
281,2024-01-12 17:00:00+00:00,WETH,1485.692072934771
282,2024-01-12 18:00:00+00:00,WETH,1534.5422487302767
283,2024-01-12 19:00:00+00:00,WETH,1579.952843262779
284,2024-01-12 20:00:00+00:00,WETH,1617.612315918122
285,2024-01-12 21:00:00+00:00,WETH,1644.0545528368737
286,2024-01-12 22:00:00+00:00,WETH,1657.0875669777595
287,2024-01-12 23:00:00+00:00,WETH,1656.064053227131
288,2024-01-13 00:00:00+00:00,WETH,1641.959768065719
289,2024-01-13 01:00:00+00:00,WETH,1617.249904232882
290,2024-01-13 02:00:00+00:00,WETH,1585.5990710954698
291,2024-01-13 03:00:00+00:00,WETH,1551.4039614386797
292,2024-01-13 04:00:00+00:00,WETH,1519.2463242065949
293,2024-01-13 05:00:00+00:00,WETH,1493.3251316942199
294,2024-01-13 06:00:00+00:00,WETH,1476.9394076211295
295,2024-01-13 07:00:00+00:00,WETH,1472.0867449570044
296,2024-01-13 08:00:00+00:00,WETH,1479.2279025741002
297,2024-01-13 09:00:00+00:00,WETH,1497.2468760704426
298,2024-01-13 10:00:00+00:00,WETH,1523.6111405150523
299,2024-01-13 11:00:00+00:00,WETH,1554.7114788085833
300,2024-01-13 12:00:00+00:00,WETH,1586.338130118042
301,2024-01-13 13:00:00+00:00,WETH,1614.2327808624925
302,2024-01-13 14:00:00+00:00,WETH,1634.6463483216487
303,2024-01-13 15:00:00+00:00,WETH,1644.8317821769315
304,2024-01-13 16:00:00+00:00,WETH,1643.409323523066
305,2024-01-13 17:00:00+00:00,WETH,1630.557777212204
306,2024-01-13 18:00:00+00:00,WETH,1608.0073375348384
307,2024-01-13 19:00:00+00:00,WETH,1578.8345842786093
308,2024-01-13 20:00:00+00:00,WETH,1547.085270774478
309,2024-01-13 21:00:00+00:00,WETH,1517.2723013211498
310,2024-01-13 22:00:00+00:00,WETH,1493.8120934427827
311,2024-01-13 23:00:00+00:00,WETH,1480.4703461727981
312,2024-01-14 00:00:00+00:00,WETH,1479.887100418399
313,2024-01-14 01:00:00+00:00,WETH,1493.2410237289967
314,2024-01-14 02:00:00+00:00,WETH,1520.095334644952
315,2024-01-14 03:00:00+00:00,WETH,1558.4449109271354
316,2024-01-14 04:00:00+00:00,WETH,1604.9587867118175
317,2024-01-14 05:00:00+00:00,WETH,1655.387632895396
318,2024-01-14 06:00:00+00:00,WETH,1705.0850378387127
319,2024-01-14 07:00:00+00:00,WETH,1749.5770830753752
320,2024-01-14 08:00:00+00:00,WETH,1785.108647877727
321,2024-01-14 09:00:00+00:00,WETH,1809.0978415231434
322,2024-01-14 10:00:00+00:00,WETH,1820.4415782000624
323,2024-01-14 11:00:00+00:00,WETH,1819.634110327662
324,2024-01-14 12:00:00+00:00,WETH,1808.6839486723522
325,2024-01-14 13:00:00+00:00,WETH,1790.8400419476907
326,2024-01-14 14:00:00+00:00,WETH,1770.1621534757808
327,2024-01-14 15:00:00+00:00,WETH,1750.9900210807793
328,2024-01-14 16:00:00+00:00,WETH,1737.378639267244
329,2024-01-14 17:00:00+00:00,WETH,1732.5712508702165
330,2024-01-14 18:00:00+00:00,WETH,1738.5768431426104
331,2024-01-14 19:00:00+00:00,WETH,1755.9057160743464
332,2024-01-14 20:00:00+00:00,WETH,1783.4966986226075
333,2024-01-14 21:00:00+00:00,WETH,1818.8453553084441
334,2024-01-14 22:00:00+00:00,WETH,1858.3171104408045
335,2024-01-14 23:00:00+00:00,WETH,1897.605828424695
336,2024-01-15 00:00:00+00:00,WETH,1932.279978860717
337,2024-01-15 01:00:00+00:00,WETH,1958.3474087712293
338,2024-01-15 02:00:00+00:00,WETH,1972.7673439237753
339,2024-01-15 03:00:00+00:00,WETH,1973.844850770158
340,2024-01-15 04:00:00+00:00,WETH,1961.4577767886253
341,2024-01-15 05:00:00+00:00,WETH,1937.0872848515035
342,2024-01-15 06:00:00+00:00,WETH,1903.647844889751
343,2024-01-15 07:00:00+00:00,WETH,1865.1378211413462
344,2024-01-15 08:00:00+00:00,WETH,1826.154406551094
345,2024-01-15 09:00:00+00:00,WETH,1791.3337541362012
346,2024-01-15 10:00:00+00:00,WETH,1764.786580927762
347,2024-01-15 11:00:00+00:00,WETH,1749.6000841684092
348,2024-01-15 12:00:00+00:00,WETH,1747.4686407413456
