block_number,timestamp,asset_symbol,price_usd
0,2023-02-13T16:00:00+00:00,WETH,1506.9921163466956
1,2023-02-14T16:00:00+00:00,WETH,1556.7650968606556
2,2023-02-15T16:00:00+00:00,WETH,1673.867464457593
3,2023-02-16T16:00:00+00:00,WETH,1640.280120459537
4,2023-02-17T16:00:00+00:00,WETH,1694.741803103264
5,2023-02-18T16:00:00+00:00,WETH,1691.6801896847617
6,2023-02-19T16:00:00+00:00,WETH,1682.3370321616364
7,2023-02-20T16:00:00+00:00,WETH,1702.797794780123
8,2023-02-21T16:00:00+00:00,WETH,1658.1409631127017
9,2023-02-22T16:00:00+00:00,WETH,1643.2985956821904
10,2023-02-23T16:00:00+00:00,WETH,1650.8950917657426
11,2023-02-24T16:00:00+00:00,WETH,1608.6583623393865
12,2023-02-25T16:00:00+00:00,WETH,1594.761052579562
13,2023-02-26T16:00:00+00:00,WETH,1640.76366628485
14,2023-02-27T16:00:00+00:00,WETH,1634.5024223677092
15,2023-02-28T16:00:00+00:00,WETH,1606.040381580292
16,2023-03-01T16:00:00+00:00,WETH,1663.5491117461045
17,2023-03-02T16:00:00+00:00,WETH,1647.557783861813
18,2023-03-03T16:00:00+00:00,WETH,1569.2781346478534
19,2023-03-04T16:00:00+00:00,WETH,1567.1792948631444
20,2023-03-05T16:00:00+00:00,WETH,1564.3831282730816
21,2023-03-06T16:00:00+00:00,WETH,1567.424628498233
22,2023-03-07T16:00:00+00:00,WETH,1561.9778653795984
23,2023-03-08T16:00:00+00:00,WETH,1534.0316583587044
24,2023-03-09T16:00:00+00:00,WETH,1438.7601676753384
25,2023-03-10T16:00:00+00:00,WETH,1429.100798623168
26,2023-03-11T16:00:00+00:00,WETH,1482.431942056024
27,2023-03-12T17:00:00+00:00,WETH,1590.8311873177597
28,2023-03-13T17:00:00+00:00,WETH,1680.2952550352577
29,2023-03-14T17:00:00+00:00,WETH,1705.1899730836126
30,2023-03-15T17:00:00+00:00,WETH,1656.3319964702005
31,2023-03-16T17:00:00+00:00,WETH,1677.296706657736
32,2023-03-17T17:00:00+00:00,WETH,1793.5923716621005
33,2023-03-18T17:00:00+00:00,WETH,1762.9632131904723
34,2023-03-19T17:00:00+00:00,WETH,1785.4162964369782
35,2023-03-20T17:00:00+00:00,WETH,1735.6179601981923
36,2023-03-21T17:00:00+00:00,WETH,1804.957033560364
37,2023-03-22T17:00:00+00:00,WETH,1737.1408565494376
38,2023-03-23T17:00:00+00:00,WETH,1815.8198112060252
39,2023-03-24T17:00:00+00:00,WETH,1751.469499257995
40,2023-03-25T17:00:00+00:00,WETH,1743.842123694552
41,2023-03-26T17:00:00+00:00,WETH,1775.481331405621
42,2023-03-27T17:00:00+00:00,WETH,1715.327387917604
43,2023-03-28T17:00:00+00:00,WETH,1772.8999553862425
44,2023-03-29T17:00:00+00:00,WETH,1793.3459124017754
45,2023-03-30T17:00:00+00:00,WETH,1793.6200946137456
46,2023-03-31T17:00:00+00:00,WETH,1821.7043535926127
47,2023-04-01T17:00:00+00:00,WETH,1821.192099222452
48,2023-04-02T17:00:00+00:00,WETH,1794.9224275132908
49,2023-04-03T17:00:00+00:00,WETH,1810.142135511305
50,2023-04-04T17:00:00+00:00,WETH,1870.9651134385565
51,2023-04-05T17:00:00+00:00,WETH,1909.143508752996
52,2023-04-06T17:00:00+00:00,WETH,1872.7341080749547
53,2023-04-07T17:00:00+00:00,WETH,1864.6790820215233
54,2023-04-08T17:00:00+00:00,WETH,1849.6722517235132
55,2023-04-09T17:00:00+00:00,WETH,1859.7411671192751
56,2023-04-10T17:00:00+00:00,WETH,1911.3758037647335
57,2023-04-11T17:00:00+00:00,WETH,1891.9497643471293
58,2023-04-12T17:00:00+00:00,WETH,1917.698321850568
59,2023-04-13T17:00:00+00:00,WETH,2013.930640202227
60,2023-04-14T17:00:00+00:00,WETH,2101.6163984050436
61,2023-04-15T17:00:00+00:00,WETH,2092.2809465967393
62,2023-04-16T17:00:00+00:00,WETH,2120.0012396304596
63,2023-04-17T17:00:00+00:00,WETH,2075.8552615500944
64,2023-04-18T17:00:00+00:00,WETH,2103.946362751537
65,2023-04-19T17:00:00+00:00,WETH,1936.4179077582637
66,2023-04-20T17:00:00+00:00,WETH,1943.4099239573984
67,2023-04-21T17:00:00+00:00,WETH,1849.286491036493
68,2023-04-22T17:00:00+00:00,WETH,1874.1715139647793
69,2023-04-23T17:00:00+00:00,WETH,1862.0853137599224
70,2023-04-24T17:00:00+00:00,WETH,1842.204391179994
71,2023-04-25T17:00:00+00:00,WETH,1866.14893410492
72,2023-04-26T17:00:00+00:00,WETH,1866.693276771419
73,2023-04-27T17:00:00+00:00,WETH,1909.2731245103364
74,2023-04-28T17:00:00+00:00,WETH,1892.5650308358097
75,2023-04-29T17:00:00+00:00,WETH,1908.7413045580995
76,2023-04-30T17:00:00+00:00,WETH,1868.8910607926491
77,2023-05-01T17:00:00+00:00,WETH,1831.726530570692
78,2023-05-02T17:00:00+00:00,WETH,1870.6871156860168
79,2023-05-03T17:00:00+00:00,WETH,1905.1689840561048
80,2023-05-04T17:00:00+00:00,WETH,1877.8331774551973
81,2023-05-05T17:00:00+00:00,WETH,1995.4791811819011
82,2023-05-06T17:00:00+00:00,WETH,1899.9176430515363
83,2023-05-07T17:00:00+00:00,WETH,1872.4751384308213
84,2023-05-08T17:00:00+00:00,WETH,1849.0610410329316
85,2023-05-09T17:00:00+00:00,WETH,1848.2135452726789
86,2023-05-10T17:00:00+00:00,WETH,1842.4921237220517
87,2023-05-11T17:00:00+00:00,WETH,1795.1766142446438
88,2023-05-12T17:00:00+00:00,WETH,1808.375009535004
89,2023-05-13T17:00:00+00:00,WETH,1796.1079663968671
90,2023-05-14T17:00:00+00:00,WETH,1800.371160742503
91,2023-05-15T17:00:00+00:00,WETH,1816.8242512605968
92,2023-05-16T17:00:00+00:00,WETH,1824.0684051133687
93,2023-05-17T17:00:00+00:00,WETH,1822.068213182067
94,2023-05-18T17:00:00+00:00,WETH,1800.994364346813
95,2023-05-19T17:00:00+00:00,WETH,1812.7660597734648
96,2023-05-20T17:00:00+00:00,WETH,1820.138099822754
97,2023-05-21T17:00:00+00:00,WETH,1804.8418680604827
98,2023-05-22T17:00:00+00:00,WETH,1817.781156745852
99,2023-05-23T17:00:00+00:00,WETH,1854.2997086355683
100,2023-05-24T17:00:00+00:00,WETH,1799.845157414709
101,2023-05-25T17:00:00+00:00,WETH,1805.7254318258456
102,2023-05-26T17:00:00+00:00,WETH,1828.5756734056847
103,2023-05-27T17:00:00+00:00,WETH,1831.0986544227544
104,2023-05-28T17:00:00+00:00,WETH,1909.2975362000093
105,2023-05-29T17:00:00+00:00,WETH,1893.0931752029217
106,2023-05-30T17:00:00+00:00,WETH,1901.0982597760797
107,2023-05-31T17:00:00+00:00,WETH,1873.914732196373
108,2023-06-01T17:00:00+00:00,WETH,1862.4237597859833
109,2023-06-02T17:00:00+00:00,WETH,1907.420823789723
110,2023-06-03T17:00:00+00:00,WETH,1892.3982141175295
111,2023-06-04T17:00:00+00:00,WETH,1890.417659721818
