block_number,timestamp,asset_symbol,price_usd
0,2021-03-18T00:00:00+00:00,ADA,1.23
1,2021-03-19T00:00:00+00:00,ADA,1.3076
2,2021-03-20T00:00:00+00:00,ADA,1.2013
3,2021-03-21T00:00:00+00:00,ADA,1.1885
4,2021-03-22T00:00:00+00:00,ADA,1.1027
5,2021-03-23T00:00:00+00:00,ADA,1.1178
6,2021-03-24T00:00:00+00:00,ADA,1.0674
7,2021-03-25T00:00:00+00:00,ADA,1.0963
8,2021-03-26T00:00:00+00:00,ADA,1.2144
9,2021-03-27T00:00:00+00:00,ADA,1.1768
10,2021-03-28T00:00:00+00:00,ADA,1.1903
11,2021-03-29T00:00:00+00:00,ADA,1.2032
12,2021-03-30T00:00:00+00:00,ADA,1.2135
13,2021-03-31T00:00:00+00:00,ADA,1.1934
14,2021-04-01T00:00:00+00:00,ADA,1.1842
15,2021-04-02T00:00:00+00:00,ADA,1.1908
16,2021-04-03T00:00:00+00:00,ADA,1.1637
17,2021-04-04T00:00:00+00:00,ADA,1.1817
18,2021-04-05T00:00:00+00:00,ADA,1.2123
19,2021-04-06T00:00:00+00:00,ADA,1.2566
20,2021-04-07T00:00:00+00:00,ADA,1.1745
21,2021-04-08T00:00:00+00:00,ADA,1.2195
22,2021-04-09T00:00:00+00:00,ADA,1.2027
23,2021-04-10T00:00:00+00:00,ADA,1.2176
24,2021-04-11T00:00:00+00:00,ADA,1.2647
25,2021-04-12T00:00:00+00:00,ADA,1.3153
26,2021-04-13T00:00:00+00:00,ADA,1.414
27,2021-04-14T00:00:00+00:00,ADA,1.4512
28,2021-04-15T00:00:00+00:00,ADA,1.4803
29,2021-04-16T00:00:00+00:00,ADA,1.413
30,2021-04-17T00:00:00+00:00,ADA,1.3772
31,2021-04-18T00:00:00+00:00,ADA,1.2804
32,2021-04-19T00:00:00+00:00,ADA,1.1963
33,2021-04-20T00:00:00+00:00,ADA,1.2689
34,2021-04-21T00:00:00+00:00,ADA,1.2042
35,2021-04-22T00:00:00+00:00,ADA,1.1456
36,2021-04-23T00:00:00+00:00,ADA,1.1599
37,2021-04-24T00:00:00+00:00,ADA,1.1047
