block_number,timestamp,asset_symbol,price_usd
0,2021-09-30T00:00:00+00:00,AVAX,66.73
1,2021-10-01T00:00:00+00:00,AVAX,67.79
2,2021-10-02T00:00:00+00:00,AVAX,69.14
3,2021-10-03T00:00:00+00:00,AVAX,69.54
4,2021-10-04T00:00:00+00:00,AVAX,65.37
5,2021-10-05T00:00:00+00:00,AVAX,64.69
6,2021-10-06T00:00:00+00:00,AVAX,60.11
7,2021-10-07T00:00:00+00:00,AVAX,61.43
8,2021-10-08T00:00:00+00:00,AVAX,60.45
9,2021-10-09T00:00:00+00:00,AVAX,60.62
10,2021-10-10T00:00:00+00:00,AVAX,56.88
11,2021-10-11T00:00:00+00:00,AVAX,55.34
12,2021-10-12T00:00:00+00:00,AVAX,54.3
13,2021-10-13T00:00:00+00:00,AVAX,55.07
14,2021-10-14T00:00:00+00:00,AVAX,56.28
15,2021-10-15T00:00:00+00:00,AVAX,56.37
16,2021-10-16T00:00:00+00:00,AVAX,57.57
17,2021-10-17T00:00:00+00:00,AVAX,56.12
18,2021-10-18T00:00:00+00:00,AVAX,55.53
19,2021-10-19T00:00:00+00:00,AVAX,56.84
20,2021-10-20T00:00:00+00:00,AVAX,59.63
21,2021-10-21T00:00:00+00:00,AVAX,61.5
22,2021-10-22T00:00:00+00:00,AVAX,65.59
23,2021-10-23T00:00:00+00:00,AVAX,65.41
24,2021-10-24T00:00:00+00:00,AVAX,64.71
25,2021-10-25T00:00:00+00:00,AVAX,69.8
26,2021-10-26T00:00:00+00:00,AVAX,68.91
27,2021-10-27T00:00:00+00:00,AVAX,62.02
28,2021-10-28T00:00:00+00:00,AVAX,64.47
29,2021-10-29T00:00:00+00:00,AVAX,64.81
30,2021-10-30T00:00:00+00:00,AVAX,62.51
31,2021-10-31T00:00:00+00:00,AVAX,64.66
32,2021-11-01T00:00:00+00:00,AVAX,65.09
33,2021-11-02T00:00:00+00:00,AVAX,67.89
34,2021-11-03T00:00:00+00:00,AVAX,76.48
35,2021-11-04T00:00:00+00:00,AVAX,79.6
36,2021-11-05T00:00:00+00:00,AVAX,74.26
37,2021-11-06T00:00:00+00:00,AVAX,78.6
38,2021-11-07T00:00:00+00:00,AVAX,87.91
39,2021-11-08T00:00:00+00:00,AVAX,91.52
40,2021-11-09T00:00:00+00:00,AVAX,88.9
41,2021-11-10T00:00:00+00:00,AVAX,85.8
42,2021-11-11T00:00:00+00:00,AVAX,88.61
43,2021-11-12T00:00:00+00:00,AVAX,84.97
44,2021-11-13T00:00:00+00:00,AVAX,97.78
45,2021-11-14T00:00:00+00:00,AVAX,95.85
46,2021-11-15T00:00:00+00:00,AVAX,93.9
47,2021-11-16T00:00:00+00:00,AVAX,97.72
48,2021-11-17T00:00:00+00:00,AVAX,107.97
49,2021-11-18T00:00:00+00:00,AVAX,100.7
50,2021-11-19T00:00:00+00:00,AVAX,112.31
51,2021-11-20T00:00:00+00:00,AVAX,126.03
52,2021-11-21T00:00:00+00:00,AVAX,128.67
53,2021-11-22T00:00:00+00:00,AVAX,135.29
54,2021-11-23T00:00:00+00:00,AVAX,123.86
55,2021-11-24T00:00:00+00:00,AVAX,115.26
56,2021-11-25T00:00:00+00:00,AVAX,119.3
57,2021-11-26T00:00:00+00:00,AVAX,104.48
58,2021-11-27T00:00:00+00:00,AVAX,113.75
59,2021-11-28T00:00:00+00:00,AVAX,110.63
60,2021-11-29T00:00:00+00:00,AVAX,120.84
61,2021-11-30T00:00:00+00:00,AVAX,121.22
62,2021-12-01T00:00:00+00:00,AVAX,119.76
63,2021-12-02T00:00:00+00:00,AVAX,107.83
64,2021-12-03T00:00:00+00:00,AVAX,108.51
65,2021-12-04T00:00:00+00:00,AVAX,93.08
66,2021-12-05T00:00:00+00:00,AVAX,86.52
67,2021-12-06T00:00:00+00:00,AVAX,93.1
68,2021-12-07T00:00:00+00:00,AVAX,89.65
69,2021-12-08T00:00:00+00:00,AVAX,93.31
70,2021-12-09T00:00:00+00:00,AVAX,85.47
71,2021-12-10T00:00:00+00:00,AVAX,80.78
72,2021-12-11T00:00:00+00:00,AVAX,86.55
73,2021-12-12T00:00:00+00:00,AVAX,88.08
74,2021-12-13T00:00:00+00:00,AVAX,79.14
75,2021-12-14T00:00:00+00:00,AVAX,87.26
76,2021-12-15T00:00:00+00:00,AVAX,101.3
77,2021-12-16T00:00:00+00:00,AVAX,98.29
78,2021-12-17T00:00:00+00:00,AVAX,110.79
79,2021-12-18T00:00:00+00:00,AVAX,115.94
80,2021-12-19T00:00:00+00:00,AVAX,107.6
81,2021-12-20T00:00:00+00:00,AVAX,113.55
82,2021-12-21T00:00:00+00:00,AVAX,123.27
83,2021-12-22T00:00:00+00:00,AVAX,116.66
84,2021-12-23T00:00:00+00:00,AVAX,121.37
85,2021-12-24T00:00:00+00:00,AVAX,114.93
86,2021-12-25T00:00:00+00:00,AVAX,114.86
87,2021-12-26T00:00:00+00:00,AVAX,115.07
88,2021-12-27T00:00:00+00:00,AVAX,113.96
89,2021-12-28T00:00:00+00:00,AVAX,107.05
90,2021-12-29T00:00:00+00:00,AVAX,103.11
91,2021-12-30T00:00:00+00:00,AVAX,101.73
92,2021-12-31T00:00:00+00:00,AVAX,109.4
93,2022-01-01T00:00:00+00:00,AVAX,114.26
94,2022-01-02T00:00:00+00:00,AVAX,113.21
95,2022-01-03T00:00:00+00:00,AVAX,108.09
96,2022-01-04T00:00:00+00:00,AVAX,103.3
97,2022-01-05T00:00:00+00:00,AVAX,97.36
98,2022-01-06T00:00:00+00:00,AVAX,95.14
99,2022-01-07T00:00:00+00:00,AVAX,86.79
100,2022-01-08T00:00:00+00:00,AVAX,83.91
101,2022-01-09T00:00:00+00:00,AVAX,89.34
102,2022-01-10T00:00:00+00:00,AVAX,84.46
103,2022-01-11T00:00:00+00:00,AVAX,89.66
104,2022-01-12T00:00:00+00:00,AVAX,96.02
105,2022-01-13T00:00:00+00:00,AVAX,89.76
106,2022-01-14T00:00:00+00:00,AVAX,90.41
107,2022-01-15T00:00:00+00:00,AVAX,93.08
108,2022-01-16T00:00:00+00:00,AVAX,92.34
109,2022-01-17T00:00:00+00:00,AVAX,86.68
110,2022-01-18T00:00:00+00:00,AVAX,86.02
111,2022-01-19T00:00:00+00:00,AVAX,82.64
112,2022-01-20T00:00:00+00:00,AVAX,79.35
113,2022-01-21T00:00:00+00:00,AVAX,66.07
114,2022-01-22T00:00:00+00:00,AVAX,59.8
115,2022-01-23T00:00:00+00:00,AVAX,64.85
116,2022-01-24T00:00:00+00:00,AVAX,63.05
117,2022-01-25T00:00:00+00:00,AVAX,68.08
118,2022-01-26T00:00:00+00:00,AVAX,65.89
119,2022-01-27T00:00:00+00:00,AVAX,64.73
120,2022-01-28T00:00:00+00:00,AVAX,67.06
121,2022-01-29T00:00:00+00:00,AVAX,71.95
122,2022-01-30T00:00:00+00:00,AVAX,67.98
123,2022-01-31T00:00:00+00:00,AVAX,69.92
124,2022-02-01T00:00:00+00:00,AVAX,73.37
125,2022-02-02T00:00:00+00:00,AVAX,67.87
126,2022-02-03T00:00:00+00:00,AVAX,68.49
127,2022-02-04T00:00:00+00:00,AVAX,77.91
128,2022-02-05T00:00:00+00:00,AVAX,77.09
129,2022-02-06T00:00:00+00:00,AVAX,79.05
130,2022-02-07T00:00:00+00:00,AVAX,83.23
131,2022-02-08T00:00:00+00:00,AVAX,86.45
132,2022-02-09T00:00:00+00:00,AVAX,90.18
133,2022-02-10T00:00:00+00:00,AVAX,91.18
134,2022-02-11T00:00:00+00:00,AVAX,81.81
135,2022-02-12T00:00:00+00:00,AVAX,81.34
136,2022-02-13T00:00:00+00:00,AVAX,77.97
137,2022-02-14T00:00:00+00:00,AVAX,81.84
138,2022-02-15T00:00:00+00:00,AVAX,93.07
139,2022-02-16T00:00:00+00:00,AVAX,95.39
140,2022-02-17T00:00:00+00:00,AVAX,88.28
141,2022-02-18T00:00:00+00:00,AVAX,83.75
142,2022-02-19T00:00:00+00:00,AVAX,85.07
143,2022-02-20T00:00:00+00:00,AVAX,77.39
144,2022-02-21T00:00:00+00:00,AVAX,70.08
145,2022-02-22T00:00:00+00:00,AVAX,74.42
146,2022-02-23T00:00:00+00:00,AVAX,73.5
147,2022-02-24T00:00:00+00:00,AVAX,76.41
148,2022-02-25T00:00:00+00:00,AVAX,81.05
149,2022-02-26T00:00:00+00:00,AVAX,81.79
150,2022-02-27T00:00:00+00:00,AVAX,75.09
151,2022-02-28T00:00:00+00:00,AVAX,84.59
152,2022-03-01T00:00:00+00:00,AVAX,86.96
153,2022-03-02T00:00:00+00:00,AVAX,83.43
154,2022-03-03T00:00:00+00:00,AVAX,78.49
155,2022-03-04T00:00:00+00:00,AVAX,75.82
156,2022-03-05T00:00:00+00:00,AVAX,76.71
157,2022-03-06T00:00:00+00:00,AVAX,72.47
158,2022-03-07T00:00:00+00:00,AVAX,71.75
159,2022-03-08T00:00:00+00:00,AVAX,72.98
160,2022-03-09T00:00:00+00:00,AVAX,77.65
161,2022-03-10T00:00:00+00:00,AVAX,73.95
162,2022-03-11T00:00:00+00:00,AVAX,71.25
163,2022-03-12T00:00:00+00:00,AVAX,70.94
164,2022-03-13T00:00:00+00:00,AVAX,67.97
165,2022-03-14T00:00:00+00:00,AVAX,68.98
166,2022-03-15T00:00:00+00:00,AVAX,69.83
167,2022-03-16T00:00:00+00:00,AVAX,74.12
168,2022-03-17T00:00:00+00:00,AVAX,79.47
169,2022-03-18T00:00:00+00:00,AVAX,85.76
170,2022-03-19T00:00:00+00:00,AVAX,89.58
171,2022-03-20T00:00:00+00:00,AVAX,84.85
172,2022-03-21T00:00:00+00:00,AVAX,86.22
173,2022-03-22T00:00:00+00:00,AVAX,83.98
174,2022-03-23T00:00:00+00:00,AVAX,86.01
175,2022-03-24T00:00:00+00:00,AVAX,87.61
176,2022-03-25T00:00:00+00:00,AVAX,83.58
177,2022-03-26T00:00:00+00:00,AVAX,85.96
178,2022-03-27T00:00:00+00:00,AVAX,89.91
179,2022-03-28T00:00:00+00:00,AVAX,89.58
180,2022-03-29T00:00:00+00:00,AVAX,92.79
181,2022-03-30T00:00:00+00:00,AVAX,95.57
182,2022-03-31T00:00:00+00:00,AVAX,97.42
183,2022-04-01T00:00:00+00:00,AVAX,96.87
184,2022-04-02T00:00:00+00:00,AVAX,96.25
185,2022-04-03T00:00:00+00:00,AVAX,98.06
186,2022-04-04T00:00:00+00:00,AVAX,96.2
187,2022-04-05T00:00:00+00:00,AVAX,91.07
188,2022-04-06T00:00:00+00:00,AVAX,82.99
189,2022-04-07T00:00:00+00:00,AVAX,87.58
190,2022-04-08T00:00:00+00:00,AVAX,83.69
191,2022-04-09T00:00:00+00:00,AVAX,84.56
192,2022-04-10T00:00:00+00:00,AVAX,80.99
193,2022-04-11T00:00:00+00:00,AVAX,74.37
194,2022-04-12T00:00:00+00:00,AVAX,76.36
195,2022-04-13T00:00:00+00:00,AVAX,80.25
196,2022-04-14T00:00:00+00:00,AVAX,76.84
197,2022-04-15T00:00:00+00:00,AVAX,77.44
198,2022-04-16T00:00:00+00:00,AVAX,77.78
199,2022-04-17T00:00:00+00:00,AVAX,75.45
200,2022-04-18T00:00:00+00:00,AVAX,77.73
201,2022-04-19T00:00:00+00:00,AVAX,80.28
202,2022-04-20T00:00:00+00:00,AVAX,78.24
203,2022-04-21T00:00:00+00:00,AVAX,75.03
204,2022-04-22T00:00:00+00:00,AVAX,74.01
205,2022-04-23T00:00:00+00:00,AVAX,72.81
206,2022-04-24T00:00:00+00:00,AVAX,71.54
207,2022-04-25T00:00:00+00:00,AVAX,72.91
208,2022-04-26T00:00:00+00:00,AVAX,68.7
209,2022-04-27T00:00:00+00:00,AVAX,69.85
210,2022-04-28T00:00:00+00:00,AVAX,67.28
211,2022-04-29T00:00:00+00:00,AVAX,63.4
212,2022-04-30T00:00:00+00:00,AVAX,57.01
213,2022-05-01T00:00:00+00:00,AVAX,58.76
214,2022-05-02T00:00:00+00:00,AVAX,60.31
215,2022-05-03T00:00:00+00:00,AVAX,59.63
216,2022-05-04T00:00:00+00:00,AVAX,67.28
217,2022-05-05T00:00:00+00:00,AVAX,59.02
218,2022-05-06T00:00:00+00:00,AVAX,57.0
219,2022-05-07T00:00:00+00:00,AVAX,55.03
220,2022-05-08T00:00:00+00:00,AVAX,51.57
221,2022-05-09T00:00:00+00:00,AVAX,41.21
222,2022-05-10T00:00:00+00:00,AVAX,44.54
223,2022-05-11T00:00:00+00:00,AVAX,31.1
224,2022-05-12T00:00:00+00:00,AVAX,30.19
225,2022-05-13T00:00:00+00:00,AVAX,32.17
226,2022-05-14T00:00:00+00:00,AVAX,33.89
227,2022-05-15T00:00:00+00:00,AVAX,36.54
228,2022-05-16T00:00:00+00:00,AVAX,32.49
229,2022-05-17T00:00:00+00:00,AVAX,34.38
230,2022-05-18T00:00:00+00:00,AVAX,29.57
231,2022-05-19T00:00:00+00:00,AVAX,30.37
232,2022-05-20T00:00:00+00:00,AVAX,28.76
233,2022-05-21T00:00:00+00:00,AVAX,29.88
234,2022-05-22T00:00:00+00:00,AVAX,31.68
235,2022-05-23T00:00:00+00:00,AVAX,29.04
236,2022-05-24T00:00:00+00:00,AVAX,29.03
237,2022-05-25T00:00:00+00:00,AVAX,27.21
238,2022-05-26T00:00:00+00:00,AVAX,23.4
239,2022-05-27T00:00:00+00:00,AVAX,22.55
240,2022-05-28T00:00:00+00:00,AVAX,24.73
241,2022-05-29T00:00:00+00:00,AVAX,26.13
242,2022-05-30T00:00:00+00:00,AVAX,27.7
243,2022-05-31T00:00:00+00:00,AVAX,26.41
244,2022-06-01T00:00:00+00:00,AVAX,23.66
245,2022-06-02T00:00:00+00:00,AVAX,24.63
246,2022-06-03T00:00:00+00:00,AVAX,22.98
247,2022-06-04T00:00:00+00:00,AVAX,24.57
248,2022-06-05T00:00:00+00:00,AVAX,24.15
249,2022-06-06T00:00:00+00:00,AVAX,25.99
250,2022-06-07T00:00:00+00:00,AVAX,24.56
251,2022-06-08T00:00:00+00:00,AVAX,24.49
252,2022-06-09T00:00:00+00:00,AVAX,24.41
253,2022-06-10T00:00:00+00:00,AVAX,22.05
254,2022-06-11T00:00:00+00:00,AVAX,19.89
255,2022-06-12T00:00:00+00:00,AVAX,17.27
256,2022-06-13T00:00:00+00:00,AVAX,16.09
257,2022-06-14T00:00:00+00:00,AVAX,16.54
258,2022-06-15T00:00:00+00:00,AVAX,18.29
259,2022-06-16T00:00:00+00:00,AVAX,15.77
260,2022-06-17T00:00:00+00:00,AVAX,15.98
261,2022-06-18T00:00:00+00:00,AVAX,14.8
262,2022-06-19T00:00:00+00:00,AVAX,16.15
263,2022-06-20T00:00:00+00:00,AVAX,17.08
264,2022-06-21T00:00:00+00:00,AVAX,16.89
265,2022-06-22T00:00:00+00:00,AVAX,16.06
266,2022-06-23T00:00:00+00:00,AVAX,18.29
267,2022-06-24T00:00:00+00:00,AVAX,20.46
268,2022-06-25T00:00:00+00:00,AVAX,21.34
269,2022-06-26T00:00:00+00:00,AVAX,19.71
270,2022-06-27T00:00:00+00:00,AVAX,19.33
271,2022-06-28T00:00:00+00:00,AVAX,18.08
272,2022-06-29T00:00:00+00:00,AVAX,17.76
273,2022-06-30T00:00:00+00:00,AVAX,16.97
274,2022-07-01T00:00:00+00:00,AVAX,16.09
275,2022-07-02T00:00:00+00:00,AVAX,16.31
276,2022-07-03T00:00:00+00:00,AVAX,16.63
277,2022-07-04T00:00:00+00:00,AVAX,17.9
278,2022-07-05T00:00:00+00:00,AVAX,18.03
279,2022-07-06T00:00:00+00:00,AVAX,19.15
280,2022-07-07T00:00:00+00:00,AVAX,20.18
281,2022-07-08T00:00:00+00:00,AVAX,19.7
282,2022-07-09T00:00:00+00:00,AVAX,19.9
283,2022-07-10T00:00:00+00:00,AVAX,19.16
284,2022-07-11T00:00:00+00:00,AVAX,17.31
285,2022-07-12T00:00:00+00:00,AVAX,16.73
286,2022-07-13T00:00:00+00:00,AVAX,18.81
287,2022-07-14T00:00:00+00:00,AVAX,19.74
288,2022-07-15T00:00:00+00:00,AVAX,19.36
289,2022-07-16T00:00:00+00:00,AVAX,21.24
290,2022-07-17T00:00:00+00:00,AVAX,20.62
291,2022-07-18T00:00:00+00:00,AVAX,23.97
292,2022-07-19T00:00:00+00:00,AVAX,24.73
293,2022-07-20T00:00:00+00:00,AVAX,23.59
294,2022-07-21T00:00:00+00:00,AVAX,24.98
295,2022-07-22T00:00:00+00:00,AVAX,23.63
296,2022-07-23T00:00:00+00:00,AVAX,23.6
297,2022-07-24T00:00:00+00:00,AVAX,23.8
298,2022-07-25T00:00:00+00:00,AVAX,20.91
299,2022-07-26T00:00:00+00:00,AVAX,20.71
300,2022-07-27T00:00:00+00:00,AVAX,23.38
301,2022-07-28T00:00:00+00:00,AVAX,24.23
302,2022-07-29T00:00:00+00:00,AVAX,24.51
303,2022-07-30T00:00:00+00:00,AVAX,24.25
304,2022-07-31T00:00:00+00:00,AVAX,23.74
305,2022-08-01T00:00:00+00:00,AVAX,23.59
306,2022-08-02T00:00:00+00:00,AVAX,22.85
307,2022-08-03T00:00:00+00:00,AVAX,23.05
308,2022-08-04T00:00:00+00:00,AVAX,23.37
309,2022-08-05T00:00:00+00:00,AVAX,24.95
310,2022-08-06T00:00:00+00:00,AVAX,26.64
311,2022-08-07T00:00:00+00:00,AVAX,27.9
312,2022-08-08T00:00:00+00:00,AVAX,27.92
313,2022-08-09T00:00:00+00:00,AVAX,27.43
314,2022-08-10T00:00:00+00:00,AVAX,29.18
315,2022-08-11T00:00:00+00:00,AVAX,28.56
316,2022-08-12T00:00:00+00:00,AVAX,29.35
317,2022-08-13T00:00:00+00:00,AVAX,29.19
318,2022-08-14T00:00:00+00:00,AVAX,28.21
319,2022-08-15T00:00:00+00:00,AVAX,27.9
320,2022-08-16T00:00:00+00:00,AVAX,27.12
321,2022-08-17T00:00:00+00:00,AVAX,25.56
322,2022-08-18T00:00:00+00:00,AVAX,24.19
323,2022-08-19T00:00:00+00:00,AVAX,22.44
324,2022-08-20T00:00:00+00:00,AVAX,22.3
325,2022-08-21T00:00:00+00:00,AVAX,22.97
326,2022-08-22T00:00:00+00:00,AVAX,22.56
327,2022-08-23T00:00:00+00:00,AVAX,23.51
328,2022-08-24T00:00:00+00:00,AVAX,23.01
329,2022-08-25T00:00:00+00:00,AVAX,22.98
330,2022-08-26T00:00:00+00:00,AVAX,20.68
331,2022-08-27T00:00:00+00:00,AVAX,20.05
332,2022-08-28T00:00:00+00:00,AVAX,18.53
333,2022-08-29T00:00:00+00:00,AVAX,19.33
334,2022-08-30T00:00:00+00:00,AVAX,19.4
335,2022-08-31T00:00:00+00:00,AVAX,19.13
336,2022-09-01T00:00:00+00:00,AVAX,19.33
