block_number,timestamp,asset_symbol,price_usd
0,2019-01-01T00:00:00+00:00,BCH,163.66
1,2019-01-02T00:00:00+00:00,BCH,170.0
2,2019-01-03T00:00:00+00:00,BCH,159.88
3,2019-01-04T00:00:00+00:00,BCH,159.39
4,2019-01-05T00:00:00+00:00,BCH,158.41
5,2019-01-06T00:00:00+00:00,BCH,164.7
6,2019-01-07T00:00:00+00:00,BCH,159.71
7,2019-01-08T00:00:00+00:00,BCH,159.79
8,2019-01-09T00:00:00+00:00,BCH,158.7
9,2019-01-10T00:00:00+00:00,BCH,133.11
10,2019-01-11T00:00:00+00:00,BCH,129.28
11,2019-01-12T00:00:00+00:00,BCH,133.02
12,2019-01-13T00:00:00+00:00,BCH,124.66
13,2019-01-14T00:00:00+00:00,BCH,132.33
14,2019-01-15T00:00:00+00:00,BCH,126.38
15,2019-01-16T00:00:00+00:00,BCH,127.57
16,2019-01-17T00:00:00+00:00,BCH,129.76
17,2019-01-18T00:00:00+00:00,BCH,126.74
18,2019-01-19T00:00:00+00:00,BCH,128.53
19,2019-01-20T00:00:00+00:00,BCH,121.85
20,2019-01-21T00:00:00+00:00,BCH,121.53
21,2019-01-22T00:00:00+00:00,BCH,127.34
22,2019-01-23T00:00:00+00:00,BCH,131.28
23,2019-01-24T00:00:00+00:00,BCH,128.22
24,2019-01-25T00:00:00+00:00,BCH,126.5
25,2019-01-26T00:00:00+00:00,BCH,125.21
26,2019-01-27T00:00:00+00:00,BCH,120.67
27,2019-01-28T00:00:00+00:00,BCH,111.05
28,2019-01-29T00:00:00+00:00,BCH,109.01
29,2019-01-30T00:00:00+00:00,BCH,116.2
30,2019-01-31T00:00:00+00:00,BCH,112.95
31,2019-02-01T00:00:00+00:00,BCH,114.45
32,2019-02-02T00:00:00+00:00,BCH,119.84
33,2019-02-03T00:00:00+00:00,BCH,117.34
34,2019-02-04T00:00:00+00:00,BCH,117.37
35,2019-02-05T00:00:00+00:00,BCH,116.03
36,2019-02-06T00:00:00+00:00,BCH,113.44
37,2019-02-07T00:00:00+00:00,BCH,114.1
38,2019-02-08T00:00:00+00:00,BCH,127.87
39,2019-02-09T00:00:00+00:00,BCH,126.83
40,2019-02-10T00:00:00+00:00,BCH,125.88
41,2019-02-11T00:00:00+00:00,BCH,120.64
42,2019-02-12T00:00:00+00:00,BCH,120.97
43,2019-02-13T00:00:00+00:00,BCH,120.79
44,2019-02-14T00:00:00+00:00,BCH,119.93
45,2019-02-15T00:00:00+00:00,BCH,120.05
46,2019-02-16T00:00:00+00:00,BCH,120.37
