block_number,timestamp,asset_symbol,price_usd
0,2019-01-01T00:00:00+00:00,BTC,3826.1
1,2019-01-02T00:00:00+00:00,BTC,3890.79
2,2019-01-03T00:00:00+00:00,BTC,3787.57
3,2019-01-04T00:00:00+00:00,BTC,3820.82
4,2019-01-05T00:00:00+00:00,BTC,3798.62
5,2019-01-06T00:00:00+00:00,BTC,4040.99
6,2019-01-07T00:00:00+00:00,BTC,4006.01
7,2019-01-08T00:00:00+00:00,BTC,3993.86
8,2019-01-09T00:00:00+00:00,BTC,4004.12
9,2019-01-10T00:00:00+00:00,BTC,3626.12
10,2019-01-11T00:00:00+00:00,BTC,3635.69
11,2019-01-12T00:00:00+00:00,BTC,3619.41
12,2019-01-13T00:00:00+00:00,BTC,3514.24
13,2019-01-14T00:00:00+00:00,BTC,3664.19
14,2019-01-15T00:00:00+00:00,BTC,3580.76
15,2019-01-16T00:00:00+00:00,BTC,3609.71
16,2019-01-17T00:00:00+00:00,BTC,3640.65
17,2019-01-18T00:00:00+00:00,BTC,3607.85
18,2019-01-19T00:00:00+00:00,BTC,3682.65
19,2019-01-20T00:00:00+00:00,BTC,3536.19
20,2019-01-21T00:00:00+00:00,BTC,3531.76
21,2019-01-22T00:00:00+00:00,BTC,3577.03
22,2019-01-23T00:00:00+00:00,BTC,3553.01
23,2019-01-24T00:00:00+00:00,BTC,3568.97
24,2019-01-25T00:00:00+00:00,BTC,3562.17
25,2019-01-26T00:00:00+00:00,BTC,3556.07
26,2019-01-27T00:00:00+00:00,BTC,3531.02
27,2019-01-28T00:00:00+00:00,BTC,3429.95
28,2019-01-29T00:00:00+00:00,BTC,3397.42
29,2019-01-30T00:00:00+00:00,BTC,3437.55
30,2019-01-31T00:00:00+00:00,BTC,3411.5
31,2019-02-01T00:00:00+00:00,BTC,3437.5
32,2019-02-02T00:00:00+00:00,BTC,3468.43
33,2019-02-03T00:00:00+00:00,BTC,3414.78
34,2019-02-04T00:00:00+00:00,BTC,3409.57
35,2019-02-05T00:00:00+00:00,BTC,3428.4
36,2019-02-06T00:00:00+00:00,BTC,3367.36
37,2019-02-07T00:00:00+00:00,BTC,3359.0
38,2019-02-08T00:00:00+00:00,BTC,3621.99
39,2019-02-09T00:00:00+00:00,BTC,3623.73
40,2019-02-10T00:00:00+00:00,BTC,3648.84
41,2019-02-11T00:00:00+00:00,BTC,3590.36
42,2019-02-12T00:00:00+00:00,BTC,3588.06
43,2019-02-13T00:00:00+00:00,BTC,3576.68
44,2019-02-14T00:00:00+00:00,BTC,3561.5
45,2019-02-15T00:00:00+00:00,BTC,3566.59
46,2019-02-16T00:00:00+00:00,BTC,3582.37
47,2019-02-17T00:00:00+00:00,BTC,3625.08
48,2019-02-18T00:00:00+00:00,BTC,3867.0
49,2019-02-19T00:00:00+00:00,BTC,3888.01
50,2019-02-20T00:00:00+00:00,BTC,3938.99
51,2019-02-21T00:00:00+00:00,BTC,3897.71
52,2019-02-22T00:00:00+00:00,BTC,3942.02
53,2019-02-23T00:00:00+00:00,BTC,4110.0
54,2019-02-24T00:00:00+00:00,BTC,3734.22
55,2019-02-25T00:00:00+00:00,BTC,3818.79
56,2019-02-26T00:00:00+00:00,BTC,3799.48
57,2019-02-27T00:00:00+00:00,BTC,3799.91
58,2019-02-28T00:00:00+00:00,BTC,3792.14
59,2019-03-01T00:00:00+00:00,BTC,3806.17
60,2019-03-02T00:00:00+00:00,BTC,3809.7
61,2019-03-03T00:00:00+00:00,BTC,3786.93
62,2019-03-04T00:00:00+00:00,BTC,3700.72
63,2019-03-05T00:00:00+00:00,BTC,3844.59
64,2019-03-06T00:00:00+00:00,BTC,3851.89
65,2019-03-07T00:00:00+00:00,BTC,3857.05
66,2019-03-08T00:00:00+00:00,BTC,3843.12
67,2019-03-09T00:00:00+00:00,BTC,3917.0
68,2019-03-10T00:00:00+00:00,BTC,3900.92
69,2019-03-11T00:00:00+00:00,BTC,3849.68
70,2019-03-12T00:00:00+00:00,BTC,3860.0
71,2019-03-13T00:00:00+00:00,BTC,3851.02
72,2019-03-14T00:00:00+00:00,BTC,3853.95
73,2019-03-15T00:00:00+00:00,BTC,3902.8
74,2019-03-16T00:00:00+00:00,BTC,3990.0
75,2019-03-17T00:00:00+00:00,BTC,3967.01
76,2019-03-18T00:00:00+00:00,BTC,3970.5
77,2019-03-19T00:00:00+00:00,BTC,4000.85
78,2019-03-20T00:00:00+00:00,BTC,4031.85
79,2019-03-21T00:00:00+00:00,BTC,3972.76
80,2019-03-22T00:00:00+00:00,BTC,3983.78
81,2019-03-23T00:00:00+00:00,BTC,3983.43
82,2019-03-24T00:00:00+00:00,BTC,3969.52
83,2019-03-25T00:00:00+00:00,BTC,3907.53
84,2019-03-26T00:00:00+00:00,BTC,3921.45
85,2019-03-27T00:00:00+00:00,BTC,4026.53
86,2019-03-28T00:00:00+00:00,BTC,4011.17
87,2019-03-29T00:00:00+00:00,BTC,4091.01
88,2019-03-30T00:00:00+00:00,BTC,4094.14
89,2019-03-31T00:00:00+00:00,BTC,4094.99
90,2019-04-01T00:00:00+00:00,BTC,4137.0
91,2019-04-02T00:00:00+00:00,BTC,4901.93
92,2019-04-03T00:00:00+00:00,BTC,4975.97
93,2019-04-04T00:00:00+00:00,BTC,4906.49
94,2019-04-05T00:00:00+00:00,BTC,5040.66
95,2019-04-06T00:00:00+00:00,BTC,5049.22
96,2019-04-07T00:00:00+00:00,BTC,5194.79
97,2019-04-08T00:00:00+00:00,BTC,5285.54
98,2019-04-09T00:00:00+00:00,BTC,5187.21
99,2019-04-10T00:00:00+00:00,BTC,5318.58
100,2019-04-11T00:00:00+00:00,BTC,5041.3
101,2019-04-12T00:00:00+00:00,BTC,5078.19
102,2019-04-13T00:00:00+00:00,BTC,5066.22
103,2019-04-14T00:00:00+00:00,BTC,5164.27
104,2019-04-15T00:00:00+00:00,BTC,5029.99
105,2019-04-16T00:00:00+00:00,BTC,5202.9
106,2019-04-17T00:00:00+00:00,BTC,5227.0
107,2019-04-18T00:00:00+00:00,BTC,5281.81
108,2019-04-19T00:00:00+00:00,BTC,5290.36
109,2019-04-20T00:00:00+00:00,BTC,5319.89
110,2019-04-21T00:00:00+00:00,BTC,5297.64
111,2019-04-22T00:00:00+00:00,BTC,5387.6
112,2019-04-23T00:00:00+00:00,BTC,5532.75
113,2019-04-24T00:00:00+00:00,BTC,5441.9
114,2019-04-25T00:00:00+00:00,BTC,5134.81
115,2019-04-26T00:00:00+00:00,BTC,5159.51
116,2019-04-27T00:00:00+00:00,BTC,5170.6
117,2019-04-28T00:00:00+00:00,BTC,5155.0
118,2019-04-29T00:00:00+00:00,BTC,5148.25
119,2019-04-30T00:00:00+00:00,BTC,5270.69
120,2019-05-01T00:00:00+00:00,BTC,5321.15
121,2019-05-02T00:00:00+00:00,BTC,5390.01
122,2019-05-03T00:00:00+00:00,BTC,5657.4
123,2019-05-04T00:00:00+00:00,BTC,5770.01
124,2019-05-05T00:00:00+00:00,BTC,5715.86
125,2019-05-06T00:00:00+00:00,BTC,5687.9
126,2019-05-07T00:00:00+00:00,BTC,5748.45
127,2019-05-08T00:00:00+00:00,BTC,5948.41
128,2019-05-09T00:00:00+00:00,BTC,6153.09
129,2019-05-10T00:00:00+00:00,BTC,6343.14
130,2019-05-11T00:00:00+00:00,BTC,7219.95
131,2019-05-12T00:00:00+00:00,BTC,6979.76
132,2019-05-13T00:00:00+00:00,BTC,7824.93
133,2019-05-14T00:00:00+00:00,BTC,7990.92
134,2019-05-15T00:00:00+00:00,BTC,8203.32
135,2019-05-16T00:00:00+00:00,BTC,7878.96
136,2019-05-17T00:00:00+00:00,BTC,7363.69
137,2019-05-18T00:00:00+00:00,BTC,7262.4
138,2019-05-19T00:00:00+00:00,BTC,8200.0
139,2019-05-20T00:00:00+00:00,BTC,7999.54
140,2019-05-21T00:00:00+00:00,BTC,7951.7
141,2019-05-22T00:00:00+00:00,BTC,7626.48
142,2019-05-23T00:00:00+00:00,BTC,7881.98
143,2019-05-24T00:00:00+00:00,BTC,8001.7
144,2019-05-25T00:00:00+00:00,BTC,8063.81
145,2019-05-26T00:00:00+00:00,BTC,8731.72
146,2019-05-27T00:00:00+00:00,BTC,8772.29
147,2019-05-28T00:00:00+00:00,BTC,8715.36
148,2019-05-29T00:00:00+00:00,BTC,8662.44
149,2019-05-30T00:00:00+00:00,BTC,8279.69
150,2019-05-31T00:00:00+00:00,BTC,8554.06
151,2019-06-01T00:00:00+00:00,BTC,8558.95
152,2019-06-02T00:00:00+00:00,BTC,8736.55
153,2019-06-03T00:00:00+00:00,BTC,8107.96
154,2019-06-04T00:00:00+00:00,BTC,7670.96
155,2019-06-05T00:00:00+00:00,BTC,7789.48
