block_number,timestamp,asset_symbol,price_usd
0,2021-06-16T00:00:00+00:00,DOT,23.04
1,2021-06-17T00:00:00+00:00,DOT,22.553
2,2021-06-18T00:00:00+00:00,DOT,21.468
3,2021-06-19T00:00:00+00:00,DOT,20.227
4,2021-06-20T00:00:00+00:00,DOT,20.653
5,2021-06-21T00:00:00+00:00,DOT,15.732
6,2021-06-22T00:00:00+00:00,DOT,14.676
7,2021-06-23T00:00:00+00:00,DOT,15.813
8,2021-06-24T00:00:00+00:00,DOT,16.224
9,2021-06-25T00:00:00+00:00,DOT,14.434
10,2021-06-26T00:00:00+00:00,DOT,14.677
11,2021-06-27T00:00:00+00:00,DOT,15.014
12,2021-06-28T00:00:00+00:00,DOT,15.786
13,2021-06-29T00:00:00+00:00,DOT,16.255
14,2021-06-30T00:00:00+00:00,DOT,16.416
15,2021-07-01T00:00:00+00:00,DOT,15.202
16,2021-07-02T00:00:00+00:00,DOT,15.295
17,2021-07-03T00:00:00+00:00,DOT,15.53
18,2021-07-04T00:00:00+00:00,DOT,15.974
19,2021-07-05T00:00:00+00:00,DOT,15.239
20,2021-07-06T00:00:00+00:00,DOT,16.144
21,2021-07-07T00:00:00+00:00,DOT,16.853
22,2021-07-08T00:00:00+00:00,DOT,15.32
23,2021-07-09T00:00:00+00:00,DOT,15.683
24,2021-07-10T00:00:00+00:00,DOT,15.287
25,2021-07-11T00:00:00+00:00,DOT,15.493
26,2021-07-12T00:00:00+00:00,DOT,14.854
27,2021-07-13T00:00:00+00:00,DOT,14.184
28,2021-07-14T00:00:00+00:00,DOT,13.808
29,2021-07-15T00:00:00+00:00,DOT,13.108
30,2021-07-16T00:00:00+00:00,DOT,12.026
31,2021-07-17T00:00:00+00:00,DOT,12.3
32,2021-07-18T00:00:00+00:00,DOT,12.678
33,2021-07-19T00:00:00+00:00,DOT,11.457
34,2021-07-20T00:00:00+00:00,DOT,10.96
35,2021-07-21T00:00:00+00:00,DOT,12.336
36,2021-07-22T00:00:00+00:00,DOT,13.175
37,2021-07-23T00:00:00+00:00,DOT,13.408
38,2021-07-24T00:00:00+00:00,DOT,13.758
39,2021-07-25T00:00:00+00:00,DOT,13.758
40,2021-07-26T00:00:00+00:00,DOT,13.926
41,2021-07-27T00:00:00+00:00,DOT,14.387
42,2021-07-28T00:00:00+00:00,DOT,14.543
43,2021-07-29T00:00:00+00:00,DOT,15.264
44,2021-07-30T00:00:00+00:00,DOT,15.812
45,2021-07-31T00:00:00+00:00,DOT,16.803
46,2021-08-01T00:00:00+00:00,DOT,18.413
47,2021-08-02T00:00:00+00:00,DOT,17.986
48,2021-08-03T00:00:00+00:00,DOT,17.436
49,2021-08-04T00:00:00+00:00,DOT,19.15
50,2021-08-05T00:00:00+00:00,DOT,19.137
51,2021-08-06T00:00:00+00:00,DOT,20.436
52,2021-08-07T00:00:00+00:00,DOT,20.972
53,2021-08-08T00:00:00+00:00,DOT,19.675
54,2021-08-09T00:00:00+00:00,DOT,20.583
55,2021-08-10T00:00:00+00:00,DOT,20.621
56,2021-08-11T00:00:00+00:00,DOT,21.354
57,2021-08-12T00:00:00+00:00,DOT,20.751
58,2021-08-13T00:00:00+00:00,DOT,22.752
59,2021-08-14T00:00:00+00:00,DOT,22.865
60,2021-08-15T00:00:00+00:00,DOT,23.179
61,2021-08-16T00:00:00+00:00,DOT,24.433
62,2021-08-17T00:00:00+00:00,DOT,23.53
63,2021-08-18T00:00:00+00:00,DOT,23.875
64,2021-08-19T00:00:00+00:00,DOT,26.596
65,2021-08-20T00:00:00+00:00,DOT,28.169
66,2021-08-21T00:00:00+00:00,DOT,27.883
67,2021-08-22T00:00:00+00:00,DOT,27.69
68,2021-08-23T00:00:00+00:00,DOT,27.894
69,2021-08-24T00:00:00+00:00,DOT,25.088
70,2021-08-25T00:00:00+00:00,DOT,25.995
71,2021-08-26T00:00:00+00:00,DOT,23.932
72,2021-08-27T00:00:00+00:00,DOT,26.543
73,2021-08-28T00:00:00+00:00,DOT,25.98
74,2021-08-29T00:00:00+00:00,DOT,25.735
75,2021-08-30T00:00:00+00:00,DOT,26.03
76,2021-08-31T00:00:00+00:00,DOT,31.353
77,2021-09-01T00:00:00+00:00,DOT,33.2
78,2021-09-02T00:00:00+00:00,DOT,31.814
79,2021-09-03T00:00:00+00:00,DOT,33.601
80,2021-09-04T00:00:00+00:00,DOT,32.384
81,2021-09-05T00:00:00+00:00,DOT,34.454
82,2021-09-06T00:00:00+00:00,DOT,34.355
83,2021-09-07T00:00:00+00:00,DOT,27.965
84,2021-09-08T00:00:00+00:00,DOT,27.778
85,2021-09-09T00:00:00+00:00,DOT,29.842
86,2021-09-10T00:00:00+00:00,DOT,29.2
87,2021-09-11T00:00:00+00:00,DOT,31.57
88,2021-09-12T00:00:00+00:00,DOT,35.825
89,2021-09-13T00:00:00+00:00,DOT,34.859
90,2021-09-14T00:00:00+00:00,DOT,37.38
91,2021-09-15T00:00:00+00:00,DOT,36.456
92,2021-09-16T00:00:00+00:00,DOT,35.531
93,2021-09-17T00:00:00+00:00,DOT,33.055
94,2021-09-18T00:00:00+00:00,DOT,34.869
95,2021-09-19T00:00:00+00:00,DOT,33.853
96,2021-09-20T00:00:00+00:00,DOT,28.319
97,2021-09-21T00:00:00+00:00,DOT,26.368
98,2021-09-22T00:00:00+00:00,DOT,31.604
99,2021-09-23T00:00:00+00:00,DOT,33.425
100,2021-09-24T00:00:00+00:00,DOT,30.841
101,2021-09-25T00:00:00+00:00,DOT,29.848
102,2021-09-26T00:00:00+00:00,DOT,28.86
103,2021-09-27T00:00:00+00:00,DOT,27.752
104,2021-09-28T00:00:00+00:00,DOT,26.33
105,2021-09-29T00:00:00+00:00,DOT,27.27
106,2021-09-30T00:00:00+00:00,DOT,28.616
107,2021-10-01T00:00:00+00:00,DOT,31.953
108,2021-10-02T00:00:00+00:00,DOT,32.034
109,2021-10-03T00:00:00+00:00,DOT,32.114
110,2021-10-04T00:00:00+00:00,DOT,31.152
111,2021-10-05T00:00:00+00:00,DOT,31.4
112,2021-10-06T00:00:00+00:00,DOT,32.201
113,2021-10-07T00:00:00+00:00,DOT,33.98
114,2021-10-08T00:00:00+00:00,DOT,33.349
115,2021-10-09T00:00:00+00:00,DOT,36.325
116,2021-10-10T00:00:00+00:00,DOT,34.441
117,2021-10-11T00:00:00+00:00,DOT,34.122
118,2021-10-12T00:00:00+00:00,DOT,35.187
119,2021-10-13T00:00:00+00:00,DOT,41.68
120,2021-10-14T00:00:00+00:00,DOT,40.701
121,2021-10-15T00:00:00+00:00,DOT,43.281
122,2021-10-16T00:00:00+00:00,DOT,41.765
123,2021-10-17T00:00:00+00:00,DOT,42.11
124,2021-10-18T00:00:00+00:00,DOT,41.173
125,2021-10-19T00:00:00+00:00,DOT,41.36
126,2021-10-20T00:00:00+00:00,DOT,44.433
127,2021-10-21T00:00:00+00:00,DOT,42.847
128,2021-10-22T00:00:00+00:00,DOT,43.511
129,2021-10-23T00:00:00+00:00,DOT,43.943
130,2021-10-24T00:00:00+00:00,DOT,42.29
131,2021-10-25T00:00:00+00:00,DOT,44.542
132,2021-10-26T00:00:00+00:00,DOT,44.913
133,2021-10-27T00:00:00+00:00,DOT,40.425
134,2021-10-28T00:00:00+00:00,DOT,41.834
135,2021-10-29T00:00:00+00:00,DOT,44.183
136,2021-10-30T00:00:00+00:00,DOT,42.715
137,2021-10-31T00:00:00+00:00,DOT,42.803
138,2021-11-01T00:00:00+00:00,DOT,50.007
139,2021-11-02T00:00:00+00:00,DOT,51.713
140,2021-11-03T00:00:00+00:00,DOT,53.4
141,2021-11-04T00:00:00+00:00,DOT,53.899
142,2021-11-05T00:00:00+00:00,DOT,51.827
143,2021-11-06T00:00:00+00:00,DOT,52.098
144,2021-11-07T00:00:00+00:00,DOT,52.253
