block_number,timestamp,asset_symbol,price_usd
0,2019-04-09T00:00:00+00:00,EOS,5.568
1,2019-04-10T00:00:00+00:00,EOS,5.869
2,2019-04-11T00:00:00+00:00,EOS,5.31
3,2019-04-12T00:00:00+00:00,EOS,5.392
4,2019-04-13T00:00:00+00:00,EOS,5.327
5,2019-04-14T00:00:00+00:00,EOS,5.574
6,2019-04-15T00:00:00+00:00,EOS,5.334
7,2019-04-16T00:00:00+00:00,EOS,5.537
8,2019-04-17T00:00:00+00:00,EOS,5.453
9,2019-04-18T00:00:00+00:00,EOS,5.486
10,2019-04-19T00:00:00+00:00,EOS,5.488
11,2019-04-20T00:00:00+00:00,EOS,5.457
12,2019-04-21T00:00:00+00:00,EOS,5.243
13,2019-04-22T00:00:00+00:00,EOS,5.25
14,2019-04-23T00:00:00+00:00,EOS,5.162
15,2019-04-24T00:00:00+00:00,EOS,4.822
16,2019-04-25T00:00:00+00:00,EOS,4.524
17,2019-04-26T00:00:00+00:00,EOS,4.649
18,2019-04-27T00:00:00+00:00,EOS,4.617
19,2019-04-28T00:00:00+00:00,EOS,4.596
20,2019-04-29T00:00:00+00:00,EOS,4.435
21,2019-04-30T00:00:00+00:00,EOS,4.771
22,2019-05-01T00:00:00+00:00,EOS,4.702
23,2019-05-02T00:00:00+00:00,EOS,4.693
24,2019-05-03T00:00:00+00:00,EOS,4.991
25,2019-05-04T00:00:00+00:00,EOS,4.9
26,2019-05-05T00:00:00+00:00,EOS,4.829
27,2019-05-06T00:00:00+00:00,EOS,4.848
28,2019-05-07T00:00:00+00:00,EOS,4.76
29,2019-05-08T00:00:00+00:00,EOS,4.859
30,2019-05-09T00:00:00+00:00,EOS,4.82
31,2019-05-10T00:00:00+00:00,EOS,4.814
32,2019-05-11T00:00:00+00:00,EOS,5.538
33,2019-05-12T00:00:00+00:00,EOS,5.324
34,2019-05-13T00:00:00+00:00,EOS,5.544
35,2019-05-14T00:00:00+00:00,EOS,6.057
36,2019-05-15T00:00:00+00:00,EOS,6.5
37,2019-05-16T00:00:00+00:00,EOS,6.506
38,2019-05-17T00:00:00+00:00,EOS,6.045
39,2019-05-18T00:00:00+00:00,EOS,5.896
40,2019-05-19T00:00:00+00:00,EOS,6.5
41,2019-05-20T00:00:00+00:00,EOS,6.269
42,2019-05-21T00:00:00+00:00,EOS,6.302
43,2019-05-22T00:00:00+00:00,EOS,5.921
44,2019-05-23T00:00:00+00:00,EOS,6.017
45,2019-05-24T00:00:00+00:00,EOS,6.429
46,2019-05-25T00:00:00+00:00,EOS,6.399
47,2019-05-26T00:00:00+00:00,EOS,6.966
48,2019-05-27T00:00:00+00:00,EOS,7.976
49,2019-05-28T00:00:00+00:00,EOS,8.089
50,2019-05-29T00:00:00+00:00,EOS,7.977
51,2019-05-30T00:00:00+00:00,EOS,7.317
52,2019-05-31T00:00:00+00:00,EOS,8.598
53,2019-06-01T00:00:00+00:00,EOS,7.724
54,2019-06-02T00:00:00+00:00,EOS,7.749
55,2019-06-03T00:00:00+00:00,EOS,6.681
56,2019-06-04T00:00:00+00:00,EOS,6.289
57,2019-06-05T00:00:00+00:00,EOS,6.424
58,2019-06-06T00:00:00+00:00,EOS,6.378
59,2019-06-07T00:00:00+00:00,EOS,6.656
60,2019-06-08T00:00:00+00:00,EOS,6.362
61,2019-06-09T00:00:00+00:00,EOS,6.148
62,2019-06-10T00:00:00+00:00,EOS,6.465
63,2019-06-11T00:00:00+00:00,EOS,6.333
64,2019-06-12T00:00:00+00:00,EOS,6.454
65,2019-06-13T00:00:00+00:00,EOS,6.472
66,2019-06-14T00:00:00+00:00,EOS,6.572
67,2019-06-15T00:00:00+00:00,EOS,6.925
68,2019-06-16T00:00:00+00:00,EOS,6.972
69,2019-06-17T00:00:00+00:00,EOS,7.141
70,2019-06-18T00:00:00+00:00,EOS,6.801
71,2019-06-19T00:00:00+00:00,EOS,6.879
72,2019-06-20T00:00:00+00:00,EOS,6.848
73,2019-06-21T00:00:00+00:00,EOS,7.061
74,2019-06-22T00:00:00+00:00,EOS,7.465
75,2019-06-23T00:00:00+00:00,EOS,7.23
76,2019-06-24T00:00:00+00:00,EOS,7.229
77,2019-06-25T00:00:00+00:00,EOS,7.149
78,2019-06-26T00:00:00+00:00,EOS,6.75
79,2019-06-27T00:00:00+00:00,EOS,5.871
80,2019-06-28T00:00:00+00:00,EOS,6.21
81,2019-06-29T00:00:00+00:00,EOS,6.317
82,2019-06-30T00:00:00+00:00,EOS,5.724
83,2019-07-01T00:00:00+00:00,EOS,6.025
84,2019-07-02T00:00:00+00:00,EOS,5.884
85,2019-07-03T00:00:00+00:00,EOS,6.067
86,2019-07-04T00:00:00+00:00,EOS,5.719
87,2019-07-05T00:00:00+00:00,EOS,5.764
88,2019-07-06T00:00:00+00:00,EOS,5.75
89,2019-07-07T00:00:00+00:00,EOS,5.962
90,2019-07-08T00:00:00+00:00,EOS,5.966
91,2019-07-09T00:00:00+00:00,EOS,5.897
92,2019-07-10T00:00:00+00:00,EOS,5.272
93,2019-07-11T00:00:00+00:00,EOS,4.691
94,2019-07-12T00:00:00+00:00,EOS,4.805
95,2019-07-13T00:00:00+00:00,EOS,4.764
96,2019-07-14T00:00:00+00:00,EOS,4.104
97,2019-07-15T00:00:00+00:00,EOS,4.29
98,2019-07-16T00:00:00+00:00,EOS,3.664
99,2019-07-17T00:00:00+00:00,EOS,3.844
100,2019-07-18T00:00:00+00:00,EOS,4.116
101,2019-07-19T00:00:00+00:00,EOS,4.056
102,2019-07-20T00:00:00+00:00,EOS,4.313
103,2019-07-21T00:00:00+00:00,EOS,4.328
104,2019-07-22T00:00:00+00:00,EOS,4.116
105,2019-07-23T00:00:00+00:00,EOS,4.141
106,2019-07-24T00:00:00+00:00,EOS,4.577
107,2019-07-25T00:00:00+00:00,EOS,4.567
108,2019-07-26T00:00:00+00:00,EOS,4.614
109,2019-07-27T00:00:00+00:00,EOS,4.267
110,2019-07-28T00:00:00+00:00,EOS,4.264
111,2019-07-29T00:00:00+00:00,EOS,4.205
112,2019-07-30T00:00:00+00:00,EOS,4.203
113,2019-07-31T00:00:00+00:00,EOS,4.424
114,2019-08-01T00:00:00+00:00,EOS,4.308
115,2019-08-02T00:00:00+00:00,EOS,4.184
116,2019-08-03T00:00:00+00:00,EOS,4.288
117,2019-08-04T00:00:00+00:00,EOS,4.235
118,2019-08-05T00:00:00+00:00,EOS,4.451
119,2019-08-06T00:00:00+00:00,EOS,4.184
120,2019-08-07T00:00:00+00:00,EOS,4.219
121,2019-08-08T00:00:00+00:00,EOS,4.158
122,2019-08-09T00:00:00+00:00,EOS,3.9
123,2019-08-10T00:00:00+00:00,EOS,4.047
124,2019-08-11T00:00:00+00:00,EOS,4.195
125,2019-08-12T00:00:00+00:00,EOS,4.123
126,2019-08-13T00:00:00+00:00,EOS,4.066
127,2019-08-14T00:00:00+00:00,EOS,3.66
128,2019-08-15T00:00:00+00:00,EOS,3.626
129,2019-08-16T00:00:00+00:00,EOS,3.589
130,2019-08-17T00:00:00+00:00,EOS,3.559
131,2019-08-18T00:00:00+00:00,EOS,3.695
