block_number,timestamp,asset_symbol,price_usd
0,2019-01-01T00:00:00+00:00,ETC,5.25
1,2019-01-02T00:00:00+00:00,ETC,5.35
2,2019-01-03T00:00:00+00:00,ETC,5.03
3,2019-01-04T00:00:00+00:00,ETC,5.22
4,2019-01-05T00:00:00+00:00,ETC,5.11
5,2019-01-06T00:00:00+00:00,ETC,5.45
6,2019-01-07T00:00:00+00:00,ETC,5.01
7,2019-01-08T00:00:00+00:00,ETC,4.97
8,2019-01-09T00:00:00+00:00,ETC,4.97
9,2019-01-10T00:00:00+00:00,ETC,4.57
10,2019-01-11T00:00:00+00:00,ETC,4.63
11,2019-01-12T00:00:00+00:00,ETC,4.57
12,2019-01-13T00:00:00+00:00,ETC,4.35
13,2019-01-14T00:00:00+00:00,ETC,4.5
14,2019-01-15T00:00:00+00:00,ETC,4.4
15,2019-01-16T00:00:00+00:00,ETC,4.46
16,2019-01-17T00:00:00+00:00,ETC,4.49
17,2019-01-18T00:00:00+00:00,ETC,4.45
18,2019-01-19T00:00:00+00:00,ETC,4.46
19,2019-01-20T00:00:00+00:00,ETC,4.39
20,2019-01-21T00:00:00+00:00,ETC,4.37
21,2019-01-22T00:00:00+00:00,ETC,4.39
22,2019-01-23T00:00:00+00:00,ETC,4.35
23,2019-01-24T00:00:00+00:00,ETC,4.39
24,2019-01-25T00:00:00+00:00,ETC,4.36
25,2019-01-26T00:00:00+00:00,ETC,4.36
26,2019-01-27T00:00:00+00:00,ETC,4.32
27,2019-01-28T00:00:00+00:00,ETC,3.96
28,2019-01-29T00:00:00+00:00,ETC,3.89
29,2019-01-30T00:00:00+00:00,ETC,3.95
30,2019-01-31T00:00:00+00:00,ETC,3.9
31,2019-02-01T00:00:00+00:00,ETC,3.89
32,2019-02-02T00:00:00+00:00,ETC,3.95
33,2019-02-03T00:00:00+00:00,ETC,3.85
34,2019-02-04T00:00:00+00:00,ETC,3.83
35,2019-02-05T00:00:00+00:00,ETC,3.84
36,2019-02-06T00:00:00+00:00,ETC,3.7
37,2019-02-07T00:00:00+00:00,ETC,3.79
38,2019-02-08T00:00:00+00:00,ETC,4.08
39,2019-02-09T00:00:00+00:00,ETC,4.06
40,2019-02-10T00:00:00+00:00,ETC,4.16
41,2019-02-11T00:00:00+00:00,ETC,4.02
42,2019-02-12T00:00:00+00:00,ETC,4.06
43,2019-02-13T00:00:00+00:00,ETC,4.08
44,2019-02-14T00:00:00+00:00,ETC,4.1
45,2019-02-15T00:00:00+00:00,ETC,4.07
46,2019-02-16T00:00:00+00:00,ETC,4.12
47,2019-02-17T00:00:00+00:00,ETC,4.16
48,2019-02-18T00:00:00+00:00,ETC,4.38
49,2019-02-19T00:00:00+00:00,ETC,4.57
50,2019-02-20T00:00:00+00:00,ETC,4.64
51,2019-02-21T00:00:00+00:00,ETC,4.47
52,2019-02-22T00:00:00+00:00,ETC,4.69
53,2019-02-23T00:00:00+00:00,ETC,4.85
54,2019-02-24T00:00:00+00:00,ETC,4.74
55,2019-02-25T00:00:00+00:00,ETC,4.63
56,2019-02-26T00:00:00+00:00,ETC,4.63
57,2019-02-27T00:00:00+00:00,ETC,4.58
58,2019-02-28T00:00:00+00:00,ETC,4.55
59,2019-03-01T00:00:00+00:00,ETC,4.58
60,2019-03-02T00:00:00+00:00,ETC,4.53
61,2019-03-03T00:00:00+00:00,ETC,4.5
62,2019-03-04T00:00:00+00:00,ETC,4.33
63,2019-03-05T00:00:00+00:00,ETC,4.4
64,2019-03-06T00:00:00+00:00,ETC,4.52
65,2019-03-07T00:00:00+00:00,ETC,4.45
66,2019-03-08T00:00:00+00:00,ETC,4.45
67,2019-03-09T00:00:00+00:00,ETC,4.5
68,2019-03-10T00:00:00+00:00,ETC,4.39
69,2019-03-11T00:00:00+00:00,ETC,4.36
70,2019-03-12T00:00:00+00:00,ETC,4.25
71,2019-03-13T00:00:00+00:00,ETC,4.19
72,2019-03-14T00:00:00+00:00,ETC,4.26
73,2019-03-15T00:00:00+00:00,ETC,4.38
74,2019-03-16T00:00:00+00:00,ETC,4.48
75,2019-03-17T00:00:00+00:00,ETC,4.41
76,2019-03-18T00:00:00+00:00,ETC,4.38
77,2019-03-19T00:00:00+00:00,ETC,4.59
78,2019-03-20T00:00:00+00:00,ETC,4.64
79,2019-03-21T00:00:00+00:00,ETC,4.73
80,2019-03-22T00:00:00+00:00,ETC,4.85
81,2019-03-23T00:00:00+00:00,ETC,4.849
82,2019-03-24T00:00:00+00:00,ETC,4.8
83,2019-03-25T00:00:00+00:00,ETC,4.66
84,2019-03-26T00:00:00+00:00,ETC,4.63
85,2019-03-27T00:00:00+00:00,ETC,4.79
86,2019-03-28T00:00:00+00:00,ETC,4.694
87,2019-03-29T00:00:00+00:00,ETC,4.86
88,2019-03-30T00:00:00+00:00,ETC,4.774
89,2019-03-31T00:00:00+00:00,ETC,4.82
90,2019-04-01T00:00:00+00:00,ETC,4.802
91,2019-04-02T00:00:00+00:00,ETC,5.49
92,2019-04-03T00:00:00+00:00,ETC,5.44
93,2019-04-04T00:00:00+00:00,ETC,5.34
94,2019-04-05T00:00:00+00:00,ETC,5.758
95,2019-04-06T00:00:00+00:00,ETC,6.0
96,2019-04-07T00:00:00+00:00,ETC,8.8
97,2019-04-08T00:00:00+00:00,ETC,7.29
98,2019-04-09T00:00:00+00:00,ETC,7.027
99,2019-04-10T00:00:00+00:00,ETC,7.093
100,2019-04-11T00:00:00+00:00,ETC,6.287
101,2019-04-12T00:00:00+00:00,ETC,6.39
102,2019-04-13T00:00:00+00:00,ETC,6.33
