block_number,timestamp,asset_symbol,price_usd
0,2019-01-01T00:00:00+00:00,ETH,139.75
1,2019-01-02T00:00:00+00:00,ETH,153.5
2,2019-01-03T00:00:00+00:00,ETH,147.23
3,2019-01-04T00:00:00+00:00,ETH,153.24
4,2019-01-05T00:00:00+00:00,ETH,154.21
5,2019-01-06T00:00:00+00:00,ETH,155.92
6,2019-01-07T00:00:00+00:00,ETH,150.62
7,2019-01-08T00:00:00+00:00,ETH,148.97
8,2019-01-09T00:00:00+00:00,ETH,149.5
9,2019-01-10T00:00:00+00:00,ETH,126.41
10,2019-01-11T00:00:00+00:00,ETH,125.83
11,2019-01-12T00:00:00+00:00,ETH,124.59
12,2019-01-13T00:00:00+00:00,ETH,115.58
13,2019-01-14T00:00:00+00:00,ETH,128.37
14,2019-01-15T00:00:00+00:00,ETH,120.0
15,2019-01-16T00:00:00+00:00,ETH,122.12
16,2019-01-17T00:00:00+00:00,ETH,122.55
17,2019-01-18T00:00:00+00:00,ETH,119.53
18,2019-01-19T00:00:00+00:00,ETH,123.17
19,2019-01-20T00:00:00+00:00,ETH,117.43
20,2019-01-21T00:00:00+00:00,ETH,115.86
21,2019-01-22T00:00:00+00:00,ETH,118.08
22,2019-01-23T00:00:00+00:00,ETH,116.55
23,2019-01-24T00:00:00+00:00,ETH,116.4
24,2019-01-25T00:00:00+00:00,ETH,114.95
25,2019-01-26T00:00:00+00:00,ETH,115.01
26,2019-01-27T00:00:00+00:00,ETH,111.35
27,2019-01-28T00:00:00+00:00,ETH,105.47
28,2019-01-29T00:00:00+00:00,ETH,104.02
29,2019-01-30T00:00:00+00:00,ETH,107.61
30,2019-01-31T00:00:00+00:00,ETH,105.79
31,2019-02-01T00:00:00+00:00,ETH,105.88
32,2019-02-02T00:00:00+00:00,ETH,109.3
33,2019-02-03T00:00:00+00:00,ETH,105.94
34,2019-02-04T00:00:00+00:00,ETH,106.08
35,2019-02-05T00:00:00+00:00,ETH,106.0
36,2019-02-06T00:00:00+00:00,ETH,103.36
37,2019-02-07T00:00:00+00:00,ETH,103.21
38,2019-02-08T00:00:00+00:00,ETH,117.96
39,2019-02-09T00:00:00+00:00,ETH,118.06
40,2019-02-10T00:00:00+00:00,ETH,123.94
41,2019-02-11T00:00:00+00:00,ETH,119.55
42,2019-02-12T00:00:00+00:00,ETH,120.82
43,2019-02-13T00:00:00+00:00,ETH,120.74
44,2019-02-14T00:00:00+00:00,ETH,119.39
45,2019-02-15T00:00:00+00:00,ETH,120.42
46,2019-02-16T00:00:00+00:00,ETH,121.56
47,2019-02-17T00:00:00+00:00,ETH,132.34
48,2019-02-18T00:00:00+00:00,ETH,144.62
49,2019-02-19T00:00:00+00:00,ETH,142.69
50,2019-02-20T00:00:00+00:00,ETH,147.19
51,2019-02-21T00:00:00+00:00,ETH,144.21
52,2019-02-22T00:00:00+00:00,ETH,146.68
53,2019-02-23T00:00:00+00:00,ETH,157.56
54,2019-02-24T00:00:00+00:00,ETH,131.76
55,2019-02-25T00:00:00+00:00,ETH,137.64
56,2019-02-26T00:00:00+00:00,ETH,135.66
57,2019-02-27T00:00:00+00:00,ETH,134.46
58,2019-02-28T00:00:00+00:00,ETH,134.48
59,2019-03-01T00:00:00+00:00,ETH,134.72
60,2019-03-02T00:00:00+00:00,ETH,132.32
61,2019-03-03T00:00:00+00:00,ETH,129.78
62,2019-03-04T00:00:00+00:00,ETH,125.24
63,2019-03-05T00:00:00+00:00,ETH,136.3
64,2019-03-06T00:00:00+00:00,ETH,137.0
65,2019-03-07T00:00:00+00:00,ETH,136.29
66,2019-03-08T00:00:00+00:00,ETH,132.75
67,2019-03-09T00:00:00+00:00,ETH,136.41
68,2019-03-10T00:00:00+00:00,ETH,134.66
69,2019-03-11T00:00:00+00:00,ETH,132.05
70,2019-03-12T00:00:00+00:00,ETH,132.8
71,2019-03-13T00:00:00+00:00,ETH,131.16
72,2019-03-14T00:00:00+00:00,ETH,131.4
73,2019-03-15T00:00:00+00:00,ETH,135.99
74,2019-03-16T00:00:00+00:00,ETH,140.48
75,2019-03-17T00:00:00+00:00,ETH,138.07
76,2019-03-18T00:00:00+00:00,ETH,137.01
77,2019-03-19T00:00:00+00:00,ETH,138.15
78,2019-03-20T00:00:00+00:00,ETH,138.73
79,2019-03-21T00:00:00+00:00,ETH,134.41
80,2019-03-22T00:00:00+00:00,ETH,135.63
81,2019-03-23T00:00:00+00:00,ETH,136.52
82,2019-03-24T00:00:00+00:00,ETH,135.37
83,2019-03-25T00:00:00+00:00,ETH,133.01
84,2019-03-26T00:00:00+00:00,ETH,133.28
85,2019-03-27T00:00:00+00:00,ETH,139.08
86,2019-03-28T00:00:00+00:00,ETH,137.46
87,2019-03-29T00:00:00+00:00,ETH,142.83
88,2019-03-30T00:00:00+00:00,ETH,142.12
89,2019-03-31T00:00:00+00:00,ETH,141.2
90,2019-04-01T00:00:00+00:00,ETH,141.0
91,2019-04-02T00:00:00+00:00,ETH,164.69
92,2019-04-03T00:00:00+00:00,ETH,161.33
93,2019-04-04T00:00:00+00:00,ETH,157.65
94,2019-04-05T00:00:00+00:00,ETH,166.08
95,2019-04-06T00:00:00+00:00,ETH,165.79
96,2019-04-07T00:00:00+00:00,ETH,174.84
97,2019-04-08T00:00:00+00:00,ETH,180.74
98,2019-04-09T00:00:00+00:00,ETH,175.83
99,2019-04-10T00:00:00+00:00,ETH,177.55
100,2019-04-11T00:00:00+00:00,ETH,164.92
101,2019-04-12T00:00:00+00:00,ETH,164.27
102,2019-04-13T00:00:00+00:00,ETH,163.75
103,2019-04-14T00:00:00+00:00,ETH,168.27
104,2019-04-15T00:00:00+00:00,ETH,160.24
105,2019-04-16T00:00:00+00:00,ETH,166.38
106,2019-04-17T00:00:00+00:00,ETH,166.54
107,2019-04-18T00:00:00+00:00,ETH,174.15
108,2019-04-19T00:00:00+00:00,ETH,173.83
109,2019-04-20T00:00:00+00:00,ETH,173.73
110,2019-04-21T00:00:00+00:00,ETH,169.9
111,2019-04-22T00:00:00+00:00,ETH,171.58
112,2019-04-23T00:00:00+00:00,ETH,170.14
113,2019-04-24T00:00:00+00:00,ETH,165.75
114,2019-04-25T00:00:00+00:00,ETH,152.05
115,2019-04-26T00:00:00+00:00,ETH,153.41
116,2019-04-27T00:00:00+00:00,ETH,155.66
117,2019-04-28T00:00:00+00:00,ETH,153.19
118,2019-04-29T00:00:00+00:00,ETH,152.36
119,2019-04-30T00:00:00+00:00,ETH,160.4
120,2019-05-01T00:00:00+00:00,ETH,158.3
121,2019-05-02T00:00:00+00:00,ETH,158.7
122,2019-05-03T00:00:00+00:00,ETH,164.74
123,2019-05-04T00:00:00+00:00,ETH,161.85
124,2019-05-05T00:00:00+00:00,ETH,161.25
125,2019-05-06T00:00:00+00:00,ETH,171.07
126,2019-05-07T00:00:00+00:00,ETH,166.51
127,2019-05-08T00:00:00+00:00,ETH,169.58
128,2019-05-09T00:00:00+00:00,ETH,170.11
129,2019-05-10T00:00:00+00:00,ETH,172.21
130,2019-05-11T00:00:00+00:00,ETH,192.52
131,2019-05-12T00:00:00+00:00,ETH,188.23
132,2019-05-13T00:00:00+00:00,ETH,196.51
