block_number,timestamp,asset_symbol,price_usd
0,2019-06-27T00:00:00+00:00,LINK,2.3198
1,2019-06-28T00:00:00+00:00,LINK,3.18477
2,2019-06-29T00:00:00+00:00,LINK,3.80122
3,2019-06-30T00:00:00+00:00,LINK,3.4195
4,2019-07-01T00:00:00+00:00,LINK,3.62996
5,2019-07-02T00:00:00+00:00,LINK,3.73703
6,2019-07-03T00:00:00+00:00,LINK,3.4906
7,2019-07-04T00:00:00+00:00,LINK,3.46181
8,2019-07-05T00:00:00+00:00,LINK,3.64999
9,2019-07-06T00:00:00+00:00,LINK,3.48569
10,2019-07-07T00:00:00+00:00,LINK,3.31098
11,2019-07-08T00:00:00+00:00,LINK,3.34401
12,2019-07-09T00:00:00+00:00,LINK,3.07752
13,2019-07-10T00:00:00+00:00,LINK,3.11687
14,2019-07-11T00:00:00+00:00,LINK,2.77789
15,2019-07-12T00:00:00+00:00,LINK,3.18405
16,2019-07-13T00:00:00+00:00,LINK,3.16923
17,2019-07-14T00:00:00+00:00,LINK,2.78799
18,2019-07-15T00:00:00+00:00,LINK,2.70834
19,2019-07-16T00:00:00+00:00,LINK,2.18128
20,2019-07-17T00:00:00+00:00,LINK,2.41131
21,2019-07-18T00:00:00+00:00,LINK,2.67353
22,2019-07-19T00:00:00+00:00,LINK,2.61545
23,2019-07-20T00:00:00+00:00,LINK,2.64817
24,2019-07-21T00:00:00+00:00,LINK,2.53736
25,2019-07-22T00:00:00+00:00,LINK,2.4009
26,2019-07-23T00:00:00+00:00,LINK,2.35031
27,2019-07-24T00:00:00+00:00,LINK,2.40575
28,2019-07-25T00:00:00+00:00,LINK,2.36101
29,2019-07-26T00:00:00+00:00,LINK,2.40999
30,2019-07-27T00:00:00+00:00,LINK,2.2429
31,2019-07-28T00:00:00+00:00,LINK,2.2139
32,2019-07-29T00:00:00+00:00,LINK,2.13195
33,2019-07-30T00:00:00+00:00,LINK,2.07301
34,2019-07-31T00:00:00+00:00,LINK,2.214
35,2019-08-01T00:00:00+00:00,LINK,2.16548
36,2019-08-02T00:00:00+00:00,LINK,2.42132
37,2019-08-03T00:00:00+00:00,LINK,2.42309
38,2019-08-04T00:00:00+00:00,LINK,2.51992
39,2019-08-05T00:00:00+00:00,LINK,2.46271
40,2019-08-06T00:00:00+00:00,LINK,2.465
41,2019-08-07T00:00:00+00:00,LINK,2.38206
42,2019-08-08T00:00:00+00:00,LINK,2.27264
43,2019-08-09T00:00:00+00:00,LINK,2.1692
44,2019-08-10T00:00:00+00:00,LINK,2.32251
45,2019-08-11T00:00:00+00:00,LINK,2.40904
46,2019-08-12T00:00:00+00:00,LINK,2.38515
47,2019-08-13T00:00:00+00:00,LINK,2.41396
48,2019-08-14T00:00:00+00:00,LINK,2.28605
49,2019-08-15T00:00:00+00:00,LINK,2.42265
50,2019-08-16T00:00:00+00:00,LINK,2.31153
51,2019-08-17T00:00:00+00:00,LINK,2.40716
52,2019-08-18T00:00:00+00:00,LINK,2.50823
53,2019-08-19T00:00:00+00:00,LINK,2.49507
54,2019-08-20T00:00:00+00:00,LINK,2.36609
55,2019-08-21T00:00:00+00:00,LINK,2.21134
56,2019-08-22T00:00:00+00:00,LINK,2.217
57,2019-08-23T00:00:00+00:00,LINK,2.244
58,2019-08-24T00:00:00+00:00,LINK,2.17621
