block_number,timestamp,asset_symbol,price_usd
0,2019-01-01T00:00:00+00:00,LTC,31.68
1,2019-01-02T00:00:00+00:00,LTC,32.94
2,2019-01-03T00:00:00+00:00,LTC,31.6
3,2019-01-04T00:00:00+00:00,LTC,32.02
4,2019-01-05T00:00:00+00:00,LTC,34.48
5,2019-01-06T00:00:00+00:00,LTC,38.88
6,2019-01-07T00:00:00+00:00,LTC,37.71
7,2019-01-08T00:00:00+00:00,LTC,39.13
8,2019-01-09T00:00:00+00:00,LTC,38.58
9,2019-01-10T00:00:00+00:00,LTC,33.27
10,2019-01-11T00:00:00+00:00,LTC,31.79
11,2019-01-12T00:00:00+00:00,LTC,32.04
12,2019-01-13T00:00:00+00:00,LTC,29.92
13,2019-01-14T00:00:00+00:00,LTC,32.07
14,2019-01-15T00:00:00+00:00,LTC,30.99
15,2019-01-16T00:00:00+00:00,LTC,31.4
16,2019-01-17T00:00:00+00:00,LTC,31.62
17,2019-01-18T00:00:00+00:00,LTC,30.96
18,2019-01-19T00:00:00+00:00,LTC,32.22
19,2019-01-20T00:00:00+00:00,LTC,30.61
20,2019-01-21T00:00:00+00:00,LTC,30.82
21,2019-01-22T00:00:00+00:00,LTC,31.48
22,2019-01-23T00:00:00+00:00,LTC,31.6
23,2019-01-24T00:00:00+00:00,LTC,32.47
24,2019-01-25T00:00:00+00:00,LTC,32.73
25,2019-01-26T00:00:00+00:00,LTC,32.64
26,2019-01-27T00:00:00+00:00,LTC,32.02
27,2019-01-28T00:00:00+00:00,LTC,30.96
28,2019-01-29T00:00:00+00:00,LTC,30.69
29,2019-01-30T00:00:00+00:00,LTC,31.53
30,2019-01-31T00:00:00+00:00,LTC,31.24
31,2019-02-01T00:00:00+00:00,LTC,32.37
32,2019-02-02T00:00:00+00:00,LTC,34.18
33,2019-02-03T00:00:00+00:00,LTC,32.87
34,2019-02-04T00:00:00+00:00,LTC,33.64
35,2019-02-05T00:00:00+00:00,LTC,33.95
36,2019-02-06T00:00:00+00:00,LTC,32.47
37,2019-02-07T00:00:00+00:00,LTC,32.85
38,2019-02-08T00:00:00+00:00,LTC,42.56
39,2019-02-09T00:00:00+00:00,LTC,44.2
40,2019-02-10T00:00:00+00:00,LTC,46.51
41,2019-02-11T00:00:00+00:00,LTC,42.37
42,2019-02-12T00:00:00+00:00,LTC,43.35
43,2019-02-13T00:00:00+00:00,LTC,41.21
44,2019-02-14T00:00:00+00:00,LTC,40.93
45,2019-02-15T00:00:00+00:00,LTC,42.08
46,2019-02-16T00:00:00+00:00,LTC,43.15
47,2019-02-17T00:00:00+00:00,LTC,43.45
48,2019-02-18T00:00:00+00:00,LTC,47.34
49,2019-02-19T00:00:00+00:00,LTC,46.91
50,2019-02-20T00:00:00+00:00,LTC,51.08
51,2019-02-21T00:00:00+00:00,LTC,48.46
52,2019-02-22T00:00:00+00:00,LTC,49.07
53,2019-02-23T00:00:00+00:00,LTC,51.19
54,2019-02-24T00:00:00+00:00,LTC,43.57
55,2019-02-25T00:00:00+00:00,LTC,45.37
56,2019-02-26T00:00:00+00:00,LTC,44.66
57,2019-02-27T00:00:00+00:00,LTC,44.96
58,2019-02-28T00:00:00+00:00,LTC,45.44
59,2019-03-01T00:00:00+00:00,LTC,46.81
60,2019-03-02T00:00:00+00:00,LTC,48.25
61,2019-03-03T00:00:00+00:00,LTC,47.49
62,2019-03-04T00:00:00+00:00,LTC,45.64
63,2019-03-05T00:00:00+00:00,LTC,52.3
64,2019-03-06T00:00:00+00:00,LTC,55.17
65,2019-03-07T00:00:00+00:00,LTC,56.51
66,2019-03-08T00:00:00+00:00,LTC,55.33
67,2019-03-09T00:00:00+00:00,LTC,57.43
68,2019-03-10T00:00:00+00:00,LTC,56.3
69,2019-03-11T00:00:00+00:00,LTC,54.65
70,2019-03-12T00:00:00+00:00,LTC,56.2
71,2019-03-13T00:00:00+00:00,LTC,55.06
72,2019-03-14T00:00:00+00:00,LTC,55.61
73,2019-03-15T00:00:00+00:00,LTC,58.13
74,2019-03-16T00:00:00+00:00,LTC,61.01
75,2019-03-17T00:00:00+00:00,LTC,60.29
76,2019-03-18T00:00:00+00:00,LTC,58.99
77,2019-03-19T00:00:00+00:00,LTC,59.29
78,2019-03-20T00:00:00+00:00,LTC,60.21
79,2019-03-21T00:00:00+00:00,LTC,58.41
80,2019-03-22T00:00:00+00:00,LTC,59.12
81,2019-03-23T00:00:00+00:00,LTC,60.43
82,2019-03-24T00:00:00+00:00,LTC,59.46
83,2019-03-25T00:00:00+00:00,LTC,58.66
84,2019-03-26T00:00:00+00:00,LTC,58.48
85,2019-03-27T00:00:00+00:00,LTC,61.26
86,2019-03-28T00:00:00+00:00,LTC,60.26
87,2019-03-29T00:00:00+00:00,LTC,61.23
88,2019-03-30T00:00:00+00:00,LTC,60.25
89,2019-03-31T00:00:00+00:00,LTC,60.35
90,2019-04-01T00:00:00+00:00,LTC,60.35
91,2019-04-02T00:00:00+00:00,LTC,77.5
92,2019-04-03T00:00:00+00:00,LTC,85.6
93,2019-04-04T00:00:00+00:00,LTC,84.95
94,2019-04-05T00:00:00+00:00,LTC,88.88
95,2019-04-06T00:00:00+00:00,LTC,92.37
96,2019-04-07T00:00:00+00:00,LTC,91.88
