block_number,timestamp,asset_symbol,price_usd
0,2021-03-11T00:00:00+00:00,MATIC,0.4243
1,2021-03-12T00:00:00+00:00,MATIC,0.4149
2,2021-03-13T00:00:00+00:00,MATIC,0.4249
3,2021-03-14T00:00:00+00:00,MATIC,0.3812
4,2021-03-15T00:00:00+00:00,MATIC,0.3909
5,2021-03-16T00:00:00+00:00,MATIC,0.3746
6,2021-03-17T00:00:00+00:00,MATIC,0.4003
7,2021-03-18T00:00:00+00:00,MATIC,0.3893
8,2021-03-19T00:00:00+00:00,MATIC,0.4094
9,2021-03-20T00:00:00+00:00,MATIC,0.3837
10,2021-03-21T00:00:00+00:00,MATIC,0.3809
11,2021-03-22T00:00:00+00:00,MATIC,0.3456
12,2021-03-23T00:00:00+00:00,MATIC,0.3303
13,2021-03-24T00:00:00+00:00,MATIC,0.321
14,2021-03-25T00:00:00+00:00,MATIC,0.3003
15,2021-03-26T00:00:00+00:00,MATIC,0.3368
16,2021-03-27T00:00:00+00:00,MATIC,0.332
17,2021-03-28T00:00:00+00:00,MATIC,0.3462
18,2021-03-29T00:00:00+00:00,MATIC,0.3841
19,2021-03-30T00:00:00+00:00,MATIC,0.3709
20,2021-03-31T00:00:00+00:00,MATIC,0.3614
21,2021-04-01T00:00:00+00:00,MATIC,0.3632
22,2021-04-02T00:00:00+00:00,MATIC,0.3832
23,2021-04-03T00:00:00+00:00,MATIC,0.3517
24,2021-04-04T00:00:00+00:00,MATIC,0.3613
25,2021-04-05T00:00:00+00:00,MATIC,0.3702
26,2021-04-06T00:00:00+00:00,MATIC,0.3743
27,2021-04-07T00:00:00+00:00,MATIC,0.3377
28,2021-04-08T00:00:00+00:00,MATIC,0.356
29,2021-04-09T00:00:00+00:00,MATIC,0.3671
30,2021-04-10T00:00:00+00:00,MATIC,0.3577
31,2021-04-11T00:00:00+00:00,MATIC,0.3687
32,2021-04-12T00:00:00+00:00,MATIC,0.3575
33,2021-04-13T00:00:00+00:00,MATIC,0.4227
34,2021-04-14T00:00:00+00:00,MATIC,0.4142
35,2021-04-15T00:00:00+00:00,MATIC,0.4406
36,2021-04-16T00:00:00+00:00,MATIC,0.4359
37,2021-04-17T00:00:00+00:00,MATIC,0.4031
38,2021-04-18T00:00:00+00:00,MATIC,0.3647
39,2021-04-19T00:00:00+00:00,MATIC,0.3272
40,2021-04-20T00:00:00+00:00,MATIC,0.3428
41,2021-04-21T00:00:00+00:00,MATIC,0.3572
42,2021-04-22T00:00:00+00:00,MATIC,0.35
43,2021-04-23T00:00:00+00:00,MATIC,0.3824
44,2021-04-24T00:00:00+00:00,MATIC,0.3552
45,2021-04-25T00:00:00+00:00,MATIC,0.3845
46,2021-04-26T00:00:00+00:00,MATIC,0.5374
47,2021-04-27T00:00:00+00:00,MATIC,0.832
48,2021-04-28T00:00:00+00:00,MATIC,0.778
49,2021-04-29T00:00:00+00:00,MATIC,0.8928
50,2021-04-30T00:00:00+00:00,MATIC,0.8223
51,2021-05-01T00:00:00+00:00,MATIC,0.7866
52,2021-05-02T00:00:00+00:00,MATIC,0.8226
53,2021-05-03T00:00:00+00:00,MATIC,0.7948
54,2021-05-04T00:00:00+00:00,MATIC,0.7051
55,2021-05-05T00:00:00+00:00,MATIC,0.8108
56,2021-05-06T00:00:00+00:00,MATIC,0.7621
57,2021-05-07T00:00:00+00:00,MATIC,0.751
58,2021-05-08T00:00:00+00:00,MATIC,0.8508
59,2021-05-09T00:00:00+00:00,MATIC,0.9713
60,2021-05-10T00:00:00+00:00,MATIC,0.8769
61,2021-05-11T00:00:00+00:00,MATIC,1.0656
62,2021-05-12T00:00:00+00:00,MATIC,1.0502
63,2021-05-13T00:00:00+00:00,MATIC,1.0524
64,2021-05-14T00:00:00+00:00,MATIC,1.4772
65,2021-05-15T00:00:00+00:00,MATIC,1.5974
66,2021-05-16T00:00:00+00:00,MATIC,1.7286
67,2021-05-17T00:00:00+00:00,MATIC,1.7305
68,2021-05-18T00:00:00+00:00,MATIC,2.4418
69,2021-05-19T00:00:00+00:00,MATIC,1.6231
70,2021-05-20T00:00:00+00:00,MATIC,1.8351
71,2021-05-21T00:00:00+00:00,MATIC,1.4863
72,2021-05-22T00:00:00+00:00,MATIC,1.1943
73,2021-05-23T00:00:00+00:00,MATIC,1.0754
74,2021-05-24T00:00:00+00:00,MATIC,1.7457
75,2021-05-25T00:00:00+00:00,MATIC,1.9381
