block_number,timestamp,asset_symbol,price_usd
0,2021-06-17T00:00:00+00:00,SOL,39.25
1,2021-06-18T00:00:00+00:00,SOL,36.842
2,2021-06-19T00:00:00+00:00,SOL,35.2
3,2021-06-20T00:00:00+00:00,SOL,35.271
4,2021-06-21T00:00:00+00:00,SOL,26.625
5,2021-06-22T00:00:00+00:00,SOL,26.982
6,2021-06-23T00:00:00+00:00,SOL,30.838
7,2021-06-24T00:00:00+00:00,SOL,31.187
8,2021-06-25T00:00:00+00:00,SOL,28.646
9,2021-06-26T00:00:00+00:00,SOL,29.739
10,2021-06-27T00:00:00+00:00,SOL,31.92
11,2021-06-28T00:00:00+00:00,SOL,33.013
12,2021-06-29T00:00:00+00:00,SOL,33.963
13,2021-06-30T00:00:00+00:00,SOL,35.565
14,2021-07-01T00:00:00+00:00,SOL,33.29
15,2021-07-02T00:00:00+00:00,SOL,33.991
16,2021-07-03T00:00:00+00:00,SOL,34.558
17,2021-07-04T00:00:00+00:00,SOL,34.332
18,2021-07-05T00:00:00+00:00,SOL,32.92
19,2021-07-06T00:00:00+00:00,SOL,34.217
20,2021-07-07T00:00:00+00:00,SOL,36.718
21,2021-07-08T00:00:00+00:00,SOL,33.161
22,2021-07-09T00:00:00+00:00,SOL,33.335
23,2021-07-10T00:00:00+00:00,SOL,31.722
24,2021-07-11T00:00:00+00:00,SOL,32.2
25,2021-07-12T00:00:00+00:00,SOL,30.749
26,2021-07-13T00:00:00+00:00,SOL,29.15
27,2021-07-14T00:00:00+00:00,SOL,31.349
28,2021-07-15T00:00:00+00:00,SOL,28.594
29,2021-07-16T00:00:00+00:00,SOL,26.296
30,2021-07-17T00:00:00+00:00,SOL,26.764
31,2021-07-18T00:00:00+00:00,SOL,26.696
32,2021-07-19T00:00:00+00:00,SOL,24.524
33,2021-07-20T00:00:00+00:00,SOL,23.472
34,2021-07-21T00:00:00+00:00,SOL,26.691
35,2021-07-22T00:00:00+00:00,SOL,27.713
36,2021-07-23T00:00:00+00:00,SOL,28.539
37,2021-07-24T00:00:00+00:00,SOL,28.65
38,2021-07-25T00:00:00+00:00,SOL,28.253
39,2021-07-26T00:00:00+00:00,SOL,28.196
40,2021-07-27T00:00:00+00:00,SOL,28.158
41,2021-07-28T00:00:00+00:00,SOL,27.899
42,2021-07-29T00:00:00+00:00,SOL,31.295
43,2021-07-30T00:00:00+00:00,SOL,32.41
44,2021-07-31T00:00:00+00:00,SOL,36.759
45,2021-08-01T00:00:00+00:00,SOL,34.198
46,2021-08-02T00:00:00+00:00,SOL,33.187
47,2021-08-03T00:00:00+00:00,SOL,34.116
48,2021-08-04T00:00:00+00:00,SOL,35.794
49,2021-08-05T00:00:00+00:00,SOL,37.398
50,2021-08-06T00:00:00+00:00,SOL,39.513
51,2021-08-07T00:00:00+00:00,SOL,39.516
52,2021-08-08T00:00:00+00:00,SOL,37.689
53,2021-08-09T00:00:00+00:00,SOL,38.676
54,2021-08-10T00:00:00+00:00,SOL,40.691
55,2021-08-11T00:00:00+00:00,SOL,41.65
56,2021-08-12T00:00:00+00:00,SOL,41.102
57,2021-08-13T00:00:00+00:00,SOL,44.9
58,2021-08-14T00:00:00+00:00,SOL,44.178
59,2021-08-15T00:00:00+00:00,SOL,53.556
60,2021-08-16T00:00:00+00:00,SOL,62.055
61,2021-08-17T00:00:00+00:00,SOL,64.169
62,2021-08-18T00:00:00+00:00,SOL,72.736
63,2021-08-19T00:00:00+00:00,SOL,72.831
64,2021-08-20T00:00:00+00:00,SOL,78.746
65,2021-08-21T00:00:00+00:00,SOL,73.937
66,2021-08-22T00:00:00+00:00,SOL,72.809
67,2021-08-23T00:00:00+00:00,SOL,75.655
68,2021-08-24T00:00:00+00:00,SOL,70.591
69,2021-08-25T00:00:00+00:00,SOL,71.986
70,2021-08-26T00:00:00+00:00,SOL,74.823
71,2021-08-27T00:00:00+00:00,SOL,88.053
72,2021-08-28T00:00:00+00:00,SOL,96.246
73,2021-08-29T00:00:00+00:00,SOL,94.287
74,2021-08-30T00:00:00+00:00,SOL,110.347
75,2021-08-31T00:00:00+00:00,SOL,108.29
76,2021-09-01T00:00:00+00:00,SOL,110.671
77,2021-09-02T00:00:00+00:00,SOL,128.346
78,2021-09-03T00:00:00+00:00,SOL,146.524
79,2021-09-04T00:00:00+00:00,SOL,138.998
80,2021-09-05T00:00:00+00:00,SOL,142.138
81,2021-09-06T00:00:00+00:00,SOL,164.316
82,2021-09-07T00:00:00+00:00,SOL,173.4
83,2021-09-08T00:00:00+00:00,SOL,191.03
84,2021-09-09T00:00:00+00:00,SOL,187.908
85,2021-09-10T00:00:00+00:00,SOL,179.51
86,2021-09-11T00:00:00+00:00,SOL,179.122
87,2021-09-12T00:00:00+00:00,SOL,174.272
88,2021-09-13T00:00:00+00:00,SOL,169.797
89,2021-09-14T00:00:00+00:00,SOL,158.64
90,2021-09-15T00:00:00+00:00,SOL,158.433
91,2021-09-16T00:00:00+00:00,SOL,152.043
92,2021-09-17T00:00:00+00:00,SOL,147.592
93,2021-09-18T00:00:00+00:00,SOL,169.336
