block_number,timestamp,asset_symbol,price_usd
0,2019-03-14T00:00:00+00:00,XLM,0.1062
1,2019-03-15T00:00:00+00:00,XLM,0.105989
2,2019-03-16T00:00:00+00:00,XLM,0.1081
3,2019-03-17T00:00:00+00:00,XLM,0.108545
4,2019-03-18T00:00:00+00:00,XLM,0.115505
5,2019-03-19T00:00:00+00:00,XLM,0.111822
6,2019-03-20T00:00:00+00:00,XLM,0.108801
7,2019-03-21T00:00:00+00:00,XLM,0.105622
8,2019-03-22T00:00:00+00:00,XLM,0.108345
9,2019-03-23T00:00:00+00:00,XLM,0.106601
10,2019-03-24T00:00:00+00:00,XLM,0.104027
11,2019-03-25T00:00:00+00:00,XLM,0.099667
12,2019-03-26T00:00:00+00:00,XLM,0.102149
13,2019-03-27T00:00:00+00:00,XLM,0.107447
14,2019-03-28T00:00:00+00:00,XLM,0.106298
15,2019-03-29T00:00:00+00:00,XLM,0.107355
16,2019-03-30T00:00:00+00:00,XLM,0.106863
17,2019-03-31T00:00:00+00:00,XLM,0.108371
18,2019-04-01T00:00:00+00:00,XLM,0.110335
19,2019-04-02T00:00:00+00:00,XLM,0.122508
20,2019-04-03T00:00:00+00:00,XLM,0.121
21,2019-04-04T00:00:00+00:00,XLM,0.117699
22,2019-04-05T00:00:00+00:00,XLM,0.127893
23,2019-04-06T00:00:00+00:00,XLM,0.125201
24,2019-04-07T00:00:00+00:00,XLM,0.133466
25,2019-04-08T00:00:00+00:00,XLM,0.131338
26,2019-04-09T00:00:00+00:00,XLM,0.125078
27,2019-04-10T00:00:00+00:00,XLM,0.126564
28,2019-04-11T00:00:00+00:00,XLM,0.115517
29,2019-04-12T00:00:00+00:00,XLM,0.114
30,2019-04-13T00:00:00+00:00,XLM,0.11594
31,2019-04-14T00:00:00+00:00,XLM,0.118175
32,2019-04-15T00:00:00+00:00,XLM,0.112492
33,2019-04-16T00:00:00+00:00,XLM,0.115368
34,2019-04-17T00:00:00+00:00,XLM,0.117432
35,2019-04-18T00:00:00+00:00,XLM,0.117718
36,2019-04-19T00:00:00+00:00,XLM,0.115855
37,2019-04-20T00:00:00+00:00,XLM,0.115736
38,2019-04-21T00:00:00+00:00,XLM,0.111877
39,2019-04-22T00:00:00+00:00,XLM,0.11301
40,2019-04-23T00:00:00+00:00,XLM,0.10957
41,2019-04-24T00:00:00+00:00,XLM,0.103249
42,2019-04-25T00:00:00+00:00,XLM,0.096924
43,2019-04-26T00:00:00+00:00,XLM,0.097319
44,2019-04-27T00:00:00+00:00,XLM,0.09808
45,2019-04-28T00:00:00+00:00,XLM,0.095898
46,2019-04-29T00:00:00+00:00,XLM,0.09405
47,2019-04-30T00:00:00+00:00,XLM,0.099704
48,2019-05-01T00:00:00+00:00,XLM,0.099802
49,2019-05-02T00:00:00+00:00,XLM,0.097796
50,2019-05-03T00:00:00+00:00,XLM,0.100222
51,2019-05-04T00:00:00+00:00,XLM,0.097615
52,2019-05-05T00:00:00+00:00,XLM,0.096
53,2019-05-06T00:00:00+00:00,XLM,0.096061
54,2019-05-07T00:00:00+00:00,XLM,0.092369
55,2019-05-08T00:00:00+00:00,XLM,0.0917
56,2019-05-09T00:00:00+00:00,XLM,0.08889
57,2019-05-10T00:00:00+00:00,XLM,0.092891
58,2019-05-11T00:00:00+00:00,XLM,0.104705
59,2019-05-12T00:00:00+00:00,XLM,0.099018
60,2019-05-13T00:00:00+00:00,XLM,0.100011
61,2019-05-14T00:00:00+00:00,XLM,0.114922
62,2019-05-15T00:00:00+00:00,XLM,0.144999
63,2019-05-16T00:00:00+00:00,XLM,0.138693
64,2019-05-17T00:00:00+00:00,XLM,0.132844
65,2019-05-18T00:00:00+00:00,XLM,0.131519
66,2019-05-19T00:00:00+00:00,XLM,0.143
67,2019-05-20T00:00:00+00:00,XLM,0.135999
68,2019-05-21T00:00:00+00:00,XLM,0.134878
69,2019-05-22T00:00:00+00:00,XLM,0.122022
70,2019-05-23T00:00:00+00:00,XLM,0.125551
71,2019-05-24T00:00:00+00:00,XLM,0.125584
72,2019-05-25T00:00:00+00:00,XLM,0.125646
73,2019-05-26T00:00:00+00:00,XLM,0.134052
74,2019-05-27T00:00:00+00:00,XLM,0.138466
75,2019-05-28T00:00:00+00:00,XLM,0.139454
76,2019-05-29T00:00:00+00:00,XLM,0.135532
77,2019-05-30T00:00:00+00:00,XLM,0.129198
78,2019-05-31T00:00:00+00:00,XLM,0.133472
79,2019-06-01T00:00:00+00:00,XLM,0.1325
80,2019-06-02T00:00:00+00:00,XLM,0.136886
81,2019-06-03T00:00:00+00:00,XLM,0.127534
82,2019-06-04T00:00:00+00:00,XLM,0.120849
83,2019-06-05T00:00:00+00:00,XLM,0.121399
84,2019-06-06T00:00:00+00:00,XLM,0.124948
85,2019-06-07T00:00:00+00:00,XLM,0.127777
86,2019-06-08T00:00:00+00:00,XLM,0.124308
87,2019-06-09T00:00:00+00:00,XLM,0.11909
88,2019-06-10T00:00:00+00:00,XLM,0.123412
89,2019-06-11T00:00:00+00:00,XLM,0.123056
90,2019-06-12T00:00:00+00:00,XLM,0.127504
91,2019-06-13T00:00:00+00:00,XLM,0.124663
92,2019-06-14T00:00:00+00:00,XLM,0.125678
93,2019-06-15T00:00:00+00:00,XLM,0.127399
94,2019-06-16T00:00:00+00:00,XLM,0.1299
95,2019-06-17T00:00:00+00:00,XLM,0.130899
96,2019-06-18T00:00:00+00:00,XLM,0.123754
97,2019-06-19T00:00:00+00:00,XLM,0.124457
98,2019-06-20T00:00:00+00:00,XLM,0.12139
99,2019-06-21T00:00:00+00:00,XLM,0.12382
100,2019-06-22T00:00:00+00:00,XLM,0.129189
101,2019-06-23T00:00:00+00:00,XLM,0.12709
102,2019-06-24T00:00:00+00:00,XLM,0.1278
103,2019-06-25T00:00:00+00:00,XLM,0.123293
104,2019-06-26T00:00:00+00:00,XLM,0.121731
105,2019-06-27T00:00:00+00:00,XLM,0.107696
106,2019-06-28T00:00:00+00:00,XLM,0.111232
107,2019-06-29T00:00:00+00:00,XLM,0.114358
108,2019-06-30T00:00:00+00:00,XLM,0.104099
109,2019-07-01T00:00:00+00:00,XLM,0.105447
110,2019-07-02T00:00:00+00:00,XLM,0.102981
111,2019-07-03T00:00:00+00:00,XLM,0.106051
112,2019-07-04T00:00:00+00:00,XLM,0.0993
113,2019-07-05T00:00:00+00:00,XLM,0.100002
114,2019-07-06T00:00:00+00:00,XLM,0.103783
115,2019-07-07T00:00:00+00:00,XLM,0.106235
116,2019-07-08T00:00:00+00:00,XLM,0.104527
117,2019-07-09T00:00:00+00:00,XLM,0.101336
118,2019-07-10T00:00:00+00:00,XLM,0.094713
119,2019-07-11T00:00:00+00:00,XLM,0.087316
120,2019-07-12T00:00:00+00:00,XLM,0.098245
121,2019-07-13T00:00:00+00:00,XLM,0.096341
122,2019-07-14T00:00:00+00:00,XLM,0.085616
123,2019-07-15T00:00:00+00:00,XLM,0.085883
124,2019-07-16T00:00:00+00:00,XLM,0.07816
125,2019-07-17T00:00:00+00:00,XLM,0.080673
126,2019-07-18T00:00:00+00:00,XLM,0.088585
127,2019-07-19T00:00:00+00:00,XLM,0.093654
128,2019-07-20T00:00:00+00:00,XLM,0.094897
129,2019-07-21T00:00:00+00:00,XLM,0.091274
130,2019-07-22T00:00:00+00:00,XLM,0.088627
131,2019-07-23T00:00:00+00:00,XLM,0.084302
132,2019-07-24T00:00:00+00:00,XLM,0.085999
133,2019-07-25T00:00:00+00:00,XLM,0.085478
134,2019-07-26T00:00:00+00:00,XLM,0.08815
135,2019-07-27T00:00:00+00:00,XLM,0.084382
136,2019-07-28T00:00:00+00:00,XLM,0.083904
137,2019-07-29T00:00:00+00:00,XLM,0.083326
138,2019-07-30T00:00:00+00:00,XLM,0.083465
139,2019-07-31T00:00:00+00:00,XLM,0.084008
140,2019-08-01T00:00:00+00:00,XLM,0.083
141,2019-08-02T00:00:00+00:00,XLM,0.082086
142,2019-08-03T00:00:00+00:00,XLM,0.082413
143,2019-08-04T00:00:00+00:00,XLM,0.082182
144,2019-08-05T00:00:00+00:00,XLM,0.0823
145,2019-08-06T00:00:00+00:00,XLM,0.07823
146,2019-08-07T00:00:00+00:00,XLM,0.078577
147,2019-08-08T00:00:00+00:00,XLM,0.076952
148,2019-08-09T00:00:00+00:00,XLM,0.071742
149,2019-08-10T00:00:00+00:00,XLM,0.073665
150,2019-08-11T00:00:00+00:00,XLM,0.078298
151,2019-08-12T00:00:00+00:00,XLM,0.075295
152,2019-08-13T00:00:00+00:00,XLM,0.07422
153,2019-08-14T00:00:00+00:00,XLM,0.069001
154,2019-08-15T00:00:00+00:00,XLM,0.070142
155,2019-08-16T00:00:00+00:00,XLM,0.068722
156,2019-08-17T00:00:00+00:00,XLM,0.06779
157,2019-08-18T00:00:00+00:00,XLM,0.070833
