block_number,timestamp,asset_symbol,price_usd
0,2020-12-08T00:00:00+00:00,ZEC,69.58
1,2020-12-09T00:00:00+00:00,ZEC,69.47
2,2020-12-10T00:00:00+00:00,ZEC,65.94
3,2020-12-11T00:00:00+00:00,ZEC,63.57
4,2020-12-12T00:00:00+00:00,ZEC,66.0
5,2020-12-13T00:00:00+00:00,ZEC,68.2
6,2020-12-14T00:00:00+00:00,ZEC,68.14
7,2020-12-15T00:00:00+00:00,ZEC,67.79
8,2020-12-16T00:00:00+00:00,ZEC,73.17
9,2020-12-17T00:00:00+00:00,ZEC,74.36
10,2020-12-18T00:00:00+00:00,ZEC,74.04
11,2020-12-19T00:00:00+00:00,ZEC,73.66
12,2020-12-20T00:00:00+00:00,ZEC,73.62
13,2020-12-21T00:00:00+00:00,ZEC,67.93
14,2020-12-22T00:00:00+00:00,ZEC,67.75
15,2020-12-23T00:00:00+00:00,ZEC,55.57
16,2020-12-24T00:00:00+00:00,ZEC,62.15
17,2020-12-25T00:00:00+00:00,ZEC,64.37
18,2020-12-26T00:00:00+00:00,ZEC,66.57
19,2020-12-27T00:00:00+00:00,ZEC,66.88
20,2020-12-28T00:00:00+00:00,ZEC,69.03
21,2020-12-29T00:00:00+00:00,ZEC,65.24
22,2020-12-30T00:00:00+00:00,ZEC,64.12
23,2020-12-31T00:00:00+00:00,ZEC,64.11
24,2021-01-01T00:00:00+00:00,ZEC,56.9
25,2021-01-02T00:00:00+00:00,ZEC,57.55
26,2021-01-03T00:00:00+00:00,ZEC,59.41
27,2021-01-04T00:00:00+00:00,ZEC,60.47
28,2021-01-05T00:00:00+00:00,ZEC,59.81
29,2021-01-06T00:00:00+00:00,ZEC,64.02
30,2021-01-07T00:00:00+00:00,ZEC,67.91
31,2021-01-08T00:00:00+00:00,ZEC,68.75
32,2021-01-09T00:00:00+00:00,ZEC,78.81
33,2021-01-10T00:00:00+00:00,ZEC,96.42
34,2021-01-11T00:00:00+00:00,ZEC,88.16
35,2021-01-12T00:00:00+00:00,ZEC,99.52
36,2021-01-13T00:00:00+00:00,ZEC,117.36
37,2021-01-14T00:00:00+00:00,ZEC,111.82
38,2021-01-15T00:00:00+00:00,ZEC,103.41
39,2021-01-16T00:00:00+00:00,ZEC,108.25
40,2021-01-17T00:00:00+00:00,ZEC,102.33
41,2021-01-18T00:00:00+00:00,ZEC,104.09
42,2021-01-19T00:00:00+00:00,ZEC,102.55
43,2021-01-20T00:00:00+00:00,ZEC,99.25
44,2021-01-21T00:00:00+00:00,ZEC,82.88
45,2021-01-22T00:00:00+00:00,ZEC,87.03
46,2021-01-23T00:00:00+00:00,ZEC,86.08
47,2021-01-24T00:00:00+00:00,ZEC,90.07
48,2021-01-25T00:00:00+00:00,ZEC,87.81
49,2021-01-26T00:00:00+00:00,ZEC,89.27
50,2021-01-27T00:00:00+00:00,ZEC,78.64
51,2021-01-28T00:00:00+00:00,ZEC,86.97
52,2021-01-29T00:00:00+00:00,ZEC,85.63
53,2021-01-30T00:00:00+00:00,ZEC,84.48
